Precinct	Votes	votes|George Cardenas	pct|George Cardenas
12001	186	186	100.00
12002	130	130	100.00
12003	167	167	100.00
12004	152	152	100.00
12005	178	178	100.00
12006	161	161	100.00
12007	119	119	100.00
12008	170	170	100.00
12009	138	138	100.00
12010	129	129	100.00
12011	150	150	100.00
12012	141	141	100.00
12013	143	143	100.00
12014	134	134	100.00
12015	146	146	100.00
12016	128	128	100.00
12017	164	164	100.00
12018	121	121	100.00
12019	136	136	100.00
12020	176	176	100.00
12021	141	141	100.00
12022	105	105	100.00
12023	164	164	100.00
