Precinct	Votes	votes|Lona Lane	pct|Lona Lane	votes|Derrick G. Curtis	pct|Derrick G. Curtis	votes|Michael A. Davis	pct|Michael A. Davis	votes|Chuks Onyezia	pct|Chuks Onyezia	votes|Consandra Harris	pct|Consandra Harris	votes|Brandon Loggins	pct|Brandon Loggins
18001	173	46	26.59	76	43.93	20	11.56	23	13.29	3	1.73	5	2.89
18002	195	72	36.92	49	25.13	27	13.85	34	17.44	1	0.51	12	6.15
18003	230	46	20.00	54	23.48	29	12.61	97	42.17	1	0.43	3	1.30
18004	276	96	34.78	53	19.20	89	32.25	29	10.51	5	1.81	4	1.45
18005	183	49	26.78	81	44.26	26	14.21	9	4.92	9	4.92	9	4.92
18006	217	50	23.04	49	22.58	33	15.21	76	35.02	4	1.84	5	2.30
18007	262	74	28.24	109	41.60	31	11.83	37	14.12	5	1.91	6	2.29
18008	278	82	29.50	76	27.34	47	16.91	62	22.30	9	3.24	2	0.72
18009	276	69	25.00	48	17.39	103	37.32	49	17.75	6	2.17	1	0.36
18010	355	104	29.30	127	35.77	57	16.06	58	16.34	5	1.41	4	1.13
18011	193	60	31.09	66	34.20	19	9.84	40	20.73	4	2.07	4	2.07
18012	242	82	33.88	99	40.91	35	14.46	22	9.09	3	1.24	1	0.41
18013	285	69	24.21	107	37.54	25	8.77	61	21.40	18	6.32	5	1.75
18014	254	82	32.28	74	29.13	55	21.65	37	14.57	5	1.97	1	0.39
18015	255	77	30.20	27	10.59	32	12.55	32	12.55	18	7.06	69	27.06
18016	259	69	26.64	62	23.94	63	24.32	55	21.24	7	2.70	3	1.16
18017	240	71	29.58	106	44.17	27	11.25	27	11.25	6	2.50	3	1.25
18018	269	104	38.66	84	31.23	46	17.10	21	7.81	7	2.60	7	2.60
18019	275	126	45.82	61	22.18	54	19.64	18	6.55	7	2.55	9	3.27
18020	228	84	36.84	68	29.82	42	18.42	15	6.58	9	3.95	10	4.39
18021	339	87	25.66	145	42.77	37	10.91	60	17.70	6	1.77	4	1.18
18022	333	121	36.34	55	16.52	98	29.43	42	12.61	9	2.70	8	2.40
18023	191	36	18.85	68	35.60	19	9.95	53	27.75	10	5.24	5	2.62
18024	197	77	39.09	47	23.86	16	8.12	46	23.35	9	4.57	2	1.02
18025	213	50	23.47	45	21.13	36	16.90	75	35.21	5	2.35	2	0.94
18026	346	129	37.28	48	13.87	72	20.81	85	24.57	10	2.89	2	0.58
18027	184	28	15.22	87	47.28	38	20.65	18	9.78	4	2.17	9	4.89
18028	235	46	19.57	59	25.11	32	13.62	92	39.15	4	1.70	2	0.85
18029	223	86	38.57	63	28.25	27	12.11	39	17.49	7	3.14	1	0.45
18030	218	50	22.94	38	17.43	45	20.64	73	33.49	6	2.75	6	2.75
18031	254	58	22.83	113	44.49	37	14.57	34	13.39	9	3.54	3	1.18
18032	266	90	33.83	93	34.96	44	16.54	21	7.89	13	4.89	5	1.88
18033	206	39	18.93	129	62.62	20	9.71	6	2.91	7	3.40	5	2.43
18034	380	146	38.42	68	17.89	66	17.37	81	21.32	17	4.47	2	0.53
18035	326	117	35.89	79	24.23	56	17.18	68	20.86	4	1.23	2	0.61
18036	231	75	32.47	82	35.50	23	9.96	45	19.48	3	1.30	3	1.30
18037	288	69	23.96	66	22.92	70	24.31	69	23.96	12	4.17	2	0.69
18038	260	119	45.77	57	21.92	45	17.31	25	9.62	6	2.31	8	3.08
18039	161	42	26.09	61	37.89	34	21.12	15	9.32	7	4.35	2	1.24
18040	279	57	20.43	72	25.81	51	18.28	80	28.67	8	2.87	11	3.94
18041	297	125	42.09	63	21.21	48	16.16	55	18.52	3	1.01	3	1.01
18042	195	67	34.36	71	36.41	24	12.31	20	10.26	11	5.64	2	1.03
18043	175	38	21.71	48	27.43	26	14.86	45	25.71	8	4.57	10	5.71
18044	235	75	31.91	56	23.83	27	11.49	75	31.91	1	0.43	1	0.43
18045	215	65	30.23	79	36.74	24	11.16	24	11.16	10	4.65	13	6.05
18046	244	43	17.62	90	36.89	32	13.11	53	21.72	17	6.97	9	3.69
18047	154	37	24.03	70	45.45	28	18.18	11	7.14	4	2.60	4	2.60
18048	186	44	23.66	82	44.09	39	20.97	6	3.23	5	2.69	10	5.38
18049	156	49	31.41	64	41.03	25	16.03	9	5.77	3	1.92	6	3.85
18050	177	48	27.12	89	50.28	22	12.43	12	6.78	1	0.56	5	2.82
