Precinct	Votes	votes|Christopher M Vittorio	pct|Christopher M Vittorio	votes|Omar Aquino	pct|Omar Aquino	votes|Gilbert Villegas	pct|Gilbert Villegas	votes|Alonso Zaragoza	pct|Alonso Zaragoza
36001	219	43	19.63	78	35.62	90	41.10	8	3.65
36002	171	20	11.70	70	40.94	68	39.77	13	7.60
36003	202	50	24.75	87	43.07	52	25.74	13	6.44
36004	200	19	9.50	65	32.50	103	51.50	13	6.50
36005	206	13	6.31	71	34.47	110	53.40	12	5.83
36006	162	10	6.17	95	58.64	39	24.07	18	11.11
36007	323	201	62.23	50	15.48	60	18.58	12	3.72
36008	143	3	2.10	68	47.55	30	20.98	42	29.37
36009	151	11	7.28	54	35.76	48	31.79	38	25.17
36010	210	40	19.05	64	30.48	98	46.67	8	3.81
36011	130	10	7.69	57	43.85	42	32.31	21	16.15
36012	125	1	0.80	75	60.00	27	21.60	22	17.60
36013	131	9	6.87	71	54.20	45	34.35	6	4.58
36014	236	95	40.25	58	24.58	60	25.42	23	9.75
36015	265	88	33.21	100	37.74	63	23.77	14	5.28
36016	238	90	37.82	75	31.51	57	23.95	16	6.72
36017	255	83	32.55	64	25.10	91	35.69	17	6.67
36018	233	89	38.20	60	25.75	69	29.61	15	6.44
36019	222	60	27.03	65	29.28	87	39.19	10	4.50
36020	230	57	24.78	97	42.17	59	25.65	17	7.39
36021	157	13	8.28	28	17.83	96	61.15	20	12.74
36022	117	4	3.42	65	55.56	38	32.48	10	8.55
36023	160	15	9.38	64	40.00	69	43.13	12	7.50
36024	220	58	26.36	77	35.00	73	33.18	12	5.45
36025	152	2	1.32	103	67.76	22	14.47	25	16.45
36026	192	60	31.25	78	40.63	45	23.44	9	4.69
36027	195	55	28.21	58	29.74	73	37.44	9	4.62
36028	221	47	21.27	71	32.13	97	43.89	6	2.71
36029	272	110	40.44	86	31.62	69	25.37	7	2.57
36030	226	81	35.84	70	30.97	65	28.76	10	4.42
