Precinct	Votes	votes|Leroy Duncan	pct|Leroy Duncan	votes|Emma M. Mitts	pct|Emma M. Mitts	votes|Maretta Brown-Miller	pct|Maretta Brown-Miller	votes|Tara Stamps	pct|Tara Stamps
37001	180	29	16.11	89	49.44	24	13.33	38	21.11
37002	122	13	10.66	49	40.16	23	18.85	37	30.33
37003	142	5	3.52	55	38.73	23	16.20	59	41.55
37004	188	10	5.32	85	45.21	23	12.23	70	37.23
37005	250	13	5.20	107	42.80	39	15.60	91	36.40
37006	237	46	19.41	100	42.19	35	14.77	56	23.63
37007	155	4	2.58	94	60.65	19	12.26	38	24.52
37008	129	8	6.20	69	53.49	7	5.43	45	34.88
37009	209	16	7.66	67	32.06	38	18.18	88	42.11
37010	246	7	2.85	117	47.56	31	12.60	91	36.99
37011	152	4	2.63	77	50.66	25	16.45	46	30.26
37012	146	15	10.27	61	41.78	12	8.22	58	39.73
37013	151	3	1.99	73	48.34	25	16.56	50	33.11
37014	219	3	1.37	115	52.51	19	8.68	82	37.44
37015	231	4	1.73	144	62.34	25	10.82	58	25.11
37016	243	15	6.17	121	49.79	23	9.47	84	34.57
37017	163	3	1.84	93	57.06	15	9.20	52	31.90
37018	216	5	2.31	120	55.56	22	10.19	69	31.94
37019	135	16	11.85	62	45.93	17	12.59	40	29.63
37020	154	4	2.60	78	50.65	19	12.34	53	34.42
37021	190	9	4.74	120	63.16	21	11.05	40	21.05
37022	197	12	6.09	96	48.73	17	8.63	72	36.55
37023	239	8	3.35	127	53.14	33	13.81	71	29.71
37024	197	11	5.58	83	42.13	28	14.21	75	38.07
37025	217	7	3.23	103	47.47	32	14.75	75	34.56
37026	269	12	4.46	139	51.67	44	16.36	74	27.51
37027	204	6	2.94	117	57.35	23	11.27	58	28.43
37028	180	4	2.22	110	61.11	28	15.56	38	21.11
37029	232	12	5.17	98	42.24	37	15.95	85	36.64
37030	192	16	8.33	103	53.65	25	13.02	48	25.00
37031	245	11	4.49	99	40.41	26	10.61	109	44.49
37032	213	33	15.49	77	36.15	34	15.96	69	32.39
37033	230	6	2.61	124	53.91	23	10.00	77	33.48
37034	203	10	4.93	134	66.01	8	3.94	51	25.12
37035	243	9	3.70	130	53.50	30	12.35	74	30.45
37036	184	7	3.80	106	57.61	23	12.50	48	26.09
37037	209	9	4.31	96	45.93	37	17.70	67	32.06
37038	251	33	13.15	101	40.24	42	16.73	75	29.88
37039	190	10	5.26	87	45.79	25	13.16	68	35.79
37040	237	3	1.27	109	45.99	44	18.57	81	34.18
37041	226	21	9.29	98	43.36	27	11.95	80	35.40
