Precinct	Votes	votes|Ricardo Munoz	pct|Ricardo Munoz	votes|Neftalie Gonzalez	pct|Neftalie Gonzalez	votes|Raul Montes, Jr.	pct|Raul Montes, Jr.	votes|Robert Martinez	pct|Robert Martinez
22001	148	97	65.54	13	8.78	15	10.14	23	15.54
22002	263	120	45.63	15	5.70	34	12.93	94	35.74
22003	253	132	52.17	52	20.55	60	23.72	9	3.56
22004	169	99	58.58	37	21.89	21	12.43	12	7.10
22005	217	92	42.40	12	5.53	74	34.10	39	17.97
22006	241	109	45.23	19	7.88	105	43.57	8	3.32
22007	141	93	65.96	31	21.99	15	10.64	2	1.42
22008	265	150	56.60	18	6.79	13	4.91	84	31.70
22009	175	123	70.29	25	14.29	17	9.71	10	5.71
22010	288	159	55.21	42	14.58	71	24.65	16	5.56
22011	174	120	68.97	15	8.62	22	12.64	17	9.77
22012	219	122	55.71	19	8.68	25	11.42	53	24.20
22013	205	110	53.66	38	18.54	46	22.44	11	5.37
22014	169	117	69.23	24	14.20	10	5.92	18	10.65
22015	156	100	64.10	36	23.08	10	6.41	10	6.41
22016	179	86	48.04	24	13.41	41	22.91	28	15.64
22017	202	112	55.45	23	11.39	57	28.22	10	4.95
22018	167	102	61.08	38	22.75	9	5.39	18	10.78
22019	85	61	71.76	7	8.24	9	10.59	8	9.41
22020	184	94	51.09	17	9.24	58	31.52	15	8.15
22021	262	167	63.74	27	10.31	55	20.99	13	4.96
22022	155	92	59.35	30	19.35	9	5.81	24	15.48
22023	296	196	66.22	17	5.74	32	10.81	51	17.23
22024	254	161	63.39	38	14.96	46	18.11	9	3.54
22025	212	114	53.77	52	24.53	33	15.57	13	6.13
