Precinct	Votes	votes|John A. Pope	pct|John A. Pope	votes|Susan Sadlowski Garza	pct|Susan Sadlowski Garza	votes|Richard L. Martinez, Jr.	pct|Richard L. Martinez, Jr.	votes|Frank J. Corona	pct|Frank J. Corona	votes|Samantha M. Webb	pct|Samantha M. Webb	votes|Olga Bautista	pct|Olga Bautista	votes|Juan B. Huizar	pct|Juan B. Huizar
10001	238	91	38.24	57	23.95	58	24.37	5	2.10	10	4.20	11	4.62	6	2.52
10002	323	174	53.87	43	13.31	44	13.62	4	1.24	44	13.62	1	0.31	13	4.02
10003	313	176	56.23	48	15.34	29	9.27	3	0.96	34	10.86	2	0.64	21	6.71
10004	186	58	31.18	39	20.97	41	22.04	15	8.06	8	4.30	13	6.99	12	6.45
10005	254	133	52.36	45	17.72	27	10.63	4	1.57	27	10.63	0	0	18	7.09
10006	243	132	54.32	31	12.76	26	10.70	4	1.65	2	0.82	13	5.35	35	14.40
10007	197	81	41.12	30	15.23	31	15.74	20	10.15	6	3.05	7	3.55	22	11.17
10008	126	29	23.02	19	15.08	64	50.79	0	0	4	3.17	7	5.56	3	2.38
10009	339	159	46.90	66	19.47	23	6.78	2	0.59	61	17.99	1	0.29	27	7.96
10010	337	123	36.50	111	32.94	35	10.39	4	1.19	15	4.45	4	1.19	45	13.35
10011	342	132	38.60	109	31.87	43	12.57	9	2.63	5	1.46	4	1.17	40	11.70
10012	193	83	43.01	50	25.91	25	12.95	6	3.11	9	4.66	4	2.07	16	8.29
10013	294	147	50.00	33	11.22	77	26.19	4	1.36	5	1.70	2	0.68	26	8.84
10014	421	160	38.00	141	33.49	49	11.64	15	3.56	9	2.14	4	0.95	43	10.21
10015	463	287	61.99	70	15.12	37	7.99	11	2.38	28	6.05	27	5.83	3	0.65
10016	206	106	51.46	32	15.53	39	18.93	2	0.97	18	8.74	2	0.97	7	3.40
10017	429	240	55.94	72	16.78	39	9.09	3	0.70	63	14.69	4	0.93	8	1.86
10018	146	73	50.00	30	20.55	15	10.27	6	4.11	7	4.79	6	4.11	9	6.16
10019	333	132	39.64	100	30.03	41	12.31	6	1.80	25	7.51	0	0	29	8.71
10020	338	127	37.57	118	34.91	44	13.02	8	2.37	7	2.07	9	2.66	25	7.40
10021	317	132	41.64	65	20.50	53	16.72	13	4.10	4	1.26	9	2.84	41	12.93
10022	160	56	35.00	41	25.63	25	15.63	16	10.00	0	0	5	3.13	17	10.63
10023	278	103	37.05	97	34.89	22	7.91	8	2.88	8	2.88	6	2.16	34	12.23
10024	352	198	56.25	59	16.76	28	7.95	1	0.28	47	13.35	1	0.28	18	5.11
10025	77	43	55.84	19	24.68	6	7.79	2	2.60	1	1.30	3	3.90	3	3.90
10026	178	99	55.62	36	20.22	10	5.62	12	6.74	5	2.81	2	1.12	14	7.87
10027	225	95	42.22	47	20.89	31	13.78	5	2.22	9	4.00	16	7.11	22	9.78
10028	357	96	26.89	170	47.62	30	8.40	12	3.36	4	1.12	4	1.12	41	11.48
10029	251	81	32.27	62	24.70	39	15.54	32	12.75	4	1.59	1	0.40	32	12.75
10030	245	95	38.78	72	29.39	18	7.35	21	8.57	10	4.08	8	3.27	21	8.57
10031	213	68	31.92	48	22.54	33	15.49	19	8.92	5	2.35	10	4.69	30	14.08
10032	284	95	33.45	100	35.21	34	11.97	12	4.23	2	0.70	4	1.41	37	13.03
10033	203	71	34.98	77	37.93	17	8.37	5	2.46	1	0.49	5	2.46	27	13.30
10034	153	81	52.94	37	24.18	14	9.15	5	3.27	3	1.96	7	4.58	6	3.92
10035	404	189	46.78	98	24.26	33	8.17	7	1.73	16	3.96	4	0.99	57	14.11
10036	75	36	48.00	15	20.00	11	14.67	6	8.00	4	5.33	2	2.67	1	1.33
