Precinct	Votes	votes|Frank M. Bass	pct|Frank M. Bass	votes|Regina D. Lewis	pct|Regina D. Lewis	votes|Wallace E. Johnson	pct|Wallace E. Johnson	votes|Sherita Ann Harris	pct|Sherita Ann Harris	votes|Roger L. Washington	pct|Roger L. Washington	votes|Vetress Boyce	pct|Vetress Boyce	votes|Ladarius R. Curtis	pct|Ladarius R. Curtis	votes|Darren Tillis	pct|Darren Tillis	votes|Larry G. Nelson	pct|Larry G. Nelson	votes|Michael Scott, Jr.	pct|Michael Scott, Jr.
24001	197	48	24.37	31	15.74	12	6.09	1	0.51	1	0.51	24	12.18	3	1.52	12	6.09	5	2.54	60	30.46
24002	188	16	8.51	9	4.79	11	5.85	12	6.38	1	0.53	37	19.68	6	3.19	38	20.21	6	3.19	52	27.66
24003	178	13	7.30	8	4.49	15	8.43	8	4.49	1	0.56	21	11.80	11	6.18	32	17.98	1	0.56	68	38.20
24004	157	9	5.73	11	7.01	7	4.46	7	4.46	2	1.27	32	20.38	5	3.18	27	17.20	1	0.64	56	35.67
24005	132	8	6.06	2	1.52	41	31.06	4	3.03	1	0.76	25	18.94	0	0	25	18.94	1	0.76	25	18.94
24006	203	22	10.84	17	8.37	17	8.37	6	2.96	4	1.97	31	15.27	3	1.48	27	13.30	2	0.99	74	36.45
24007	98	10	10.20	6	6.12	1	1.02	10	10.20	1	1.02	7	7.14	7	7.14	16	16.33	4	4.08	36	36.73
24008	140	12	8.57	22	15.71	11	7.86	3	2.14	2	1.43	35	25.00	4	2.86	14	10.00	1	0.71	36	25.71
24009	180	16	8.89	12	6.67	9	5.00	12	6.67	6	3.33	35	19.44	5	2.78	30	16.67	1	0.56	54	30.00
24010	91	10	10.99	3	3.30	6	6.59	12	13.19	1	1.10	15	16.48	1	1.10	13	14.29	3	3.30	27	29.67
24011	205	20	9.76	30	14.63	10	4.88	10	4.88	9	4.39	20	9.76	3	1.46	60	29.27	2	0.98	41	20.00
24012	120	10	8.33	8	6.67	6	5.00	9	7.50	11	9.17	19	15.83	2	1.67	19	15.83	5	4.17	31	25.83
24013	124	7	5.65	11	8.87	8	6.45	7	5.65	3	2.42	30	24.19	5	4.03	14	11.29	2	1.61	37	29.84
24014	182	21	11.54	10	5.49	11	6.04	15	8.24	1	0.55	45	24.73	6	3.30	15	8.24	2	1.10	56	30.77
24015	122	14	11.48	18	14.75	8	6.56	5	4.10	1	0.82	35	28.69	2	1.64	17	13.93	6	4.92	16	13.11
24016	171	27	15.79	11	6.43	22	12.87	26	15.20	8	4.68	22	12.87	8	4.68	16	9.36	2	1.17	29	16.96
24017	146	25	17.12	8	5.48	4	2.74	6	4.11	5	3.42	14	9.59	2	1.37	38	26.03	2	1.37	42	28.77
24018	222	25	11.26	24	10.81	14	6.31	16	7.21	0	0	38	17.12	9	4.05	21	9.46	2	0.90	73	32.88
24019	206	24	11.65	21	10.19	8	3.88	8	3.88	3	1.46	14	6.80	14	6.80	29	14.08	3	1.46	82	39.81
24020	180	21	11.67	23	12.78	4	2.22	8	4.44	12	6.67	22	12.22	9	5.00	35	19.44	2	1.11	44	24.44
24021	120	3	2.50	4	3.33	15	12.50	4	3.33	1	0.83	37	30.83	1	0.83	17	14.17	1	0.83	37	30.83
24022	248	18	7.26	19	7.66	12	4.84	7	2.82	12	4.84	53	21.37	4	1.61	43	17.34	9	3.63	71	28.63
24023	169	11	6.51	8	4.73	8	4.73	39	23.08	1	0.59	16	9.47	7	4.14	16	9.47	1	0.59	62	36.69
24024	230	10	4.35	15	6.52	14	6.09	7	3.04	4	1.74	78	33.91	6	2.61	30	13.04	3	1.30	63	27.39
24025	184	16	8.70	21	11.41	7	3.80	5	2.72	4	2.17	25	13.59	4	2.17	32	17.39	14	7.61	56	30.43
