Precinct	Votes	votes|Roderick T. Sawyer	pct|Roderick T. Sawyer	votes|Richard A. Wooten	pct|Richard A. Wooten	votes|Brian T. Garner	pct|Brian T. Garner
06001	315	178	56.51	90	28.57	47	14.92
06002	281	153	54.45	79	28.11	49	17.44
06003	292	146	50.00	86	29.45	60	20.55
06004	182	117	64.29	49	26.92	16	8.79
06005	167	105	62.87	32	19.16	30	17.96
06006	269	170	63.20	58	21.56	41	15.24
06007	236	120	50.85	33	13.98	83	35.17
06008	281	150	53.38	108	38.43	23	8.19
06009	202	136	67.33	44	21.78	22	10.89
06010	130	76	58.46	36	27.69	18	13.85
06011	221	151	68.33	41	18.55	29	13.12
06012	145	90	62.07	34	23.45	21	14.48
06013	213	100	46.95	95	44.60	18	8.45
06014	256	137	53.52	74	28.91	45	17.58
06015	191	80	41.88	93	48.69	18	9.42
06016	301	166	55.15	95	31.56	40	13.29
06017	172	115	66.86	38	22.09	19	11.05
06018	195	117	60.00	51	26.15	27	13.85
06019	235	135	57.45	67	28.51	33	14.04
06020	125	87	69.60	22	17.60	16	12.80
06021	146	81	55.48	31	21.23	34	23.29
06022	170	105	61.76	19	11.18	46	27.06
06023	134	86	64.18	28	20.90	20	14.93
06024	133	76	57.14	36	27.07	21	15.79
06025	136	104	76.47	17	12.50	15	11.03
06026	146	95	65.07	20	13.70	31	21.23
06027	134	97	72.39	18	13.43	19	14.18
06028	131	67	51.15	32	24.43	32	24.43
06029	320	163	50.94	78	24.38	79	24.69
06030	189	97	51.32	52	27.51	40	21.16
06031	277	133	48.01	98	35.38	46	16.61
06032	251	177	70.52	35	13.94	39	15.54
06033	265	156	58.87	70	26.42	39	14.72
06034	265	129	48.68	70	26.42	66	24.91
06035	259	143	55.21	72	27.80	44	16.99
06036	281	153	54.45	74	26.33	54	19.22
06037	326	164	50.31	74	22.70	88	26.99
06038	310	149	48.06	65	20.97	96	30.97
06039	232	140	60.34	60	25.86	32	13.79
06040	224	119	53.13	47	20.98	58	25.89
06041	249	163	65.46	64	25.70	22	8.84
06042	244	124	50.82	64	26.23	56	22.95
06043	235	123	52.34	76	32.34	36	15.32
06044	285	143	50.18	107	37.54	35	12.28
06045	273	119	43.59	92	33.70	62	22.71
06046	217	108	49.77	70	32.26	39	17.97
06047	178	99	55.62	54	30.34	25	14.04
06048	240	148	61.67	52	21.67	40	16.67
