Precinct	Votes	votes|Willie Ray, Jr.	pct|Willie Ray, Jr.	votes|Andre Smith	pct|Andre Smith	votes|Willie B. Cochran	pct|Willie B. Cochran	votes|Kevin Bailey	pct|Kevin Bailey	votes|Ernest Radcliffe, Jr.	pct|Ernest Radcliffe, Jr.
20001	175	14	8.00	13	7.43	84	48.00	41	23.43	23	13.14
20002	99	11	11.11	15	15.15	37	37.37	32	32.32	4	4.04
20003	168	6	3.57	23	13.69	96	57.14	34	20.24	9	5.36
20004	82	9	10.98	15	18.29	29	35.37	26	31.71	3	3.66
20005	214	29	13.55	15	7.01	113	52.80	34	15.89	23	10.75
20006	91	11	12.09	5	5.49	44	48.35	25	27.47	6	6.59
20007	163	11	6.75	50	30.67	56	34.36	39	23.93	7	4.29
20008	227	17	7.49	19	8.37	143	63.00	30	13.22	18	7.93
20009	272	45	16.54	13	4.78	159	58.46	30	11.03	25	9.19
20010	160	12	7.50	30	18.75	86	53.75	19	11.88	13	8.13
20011	249	17	6.83	66	26.51	99	39.76	59	23.69	8	3.21
20012	116	11	9.48	39	33.62	44	37.93	20	17.24	2	1.72
20013	227	36	15.86	25	11.01	114	50.22	46	20.26	6	2.64
20014	164	32	19.51	23	14.02	77	46.95	23	14.02	9	5.49
20015	130	17	13.08	17	13.08	50	38.46	39	30.00	7	5.38
20016	250	36	14.40	29	11.60	142	56.80	30	12.00	13	5.20
20017	124	12	9.68	23	18.55	34	27.42	51	41.13	4	3.23
20018	166	22	13.25	14	8.43	71	42.77	34	20.48	25	15.06
20019	216	14	6.48	55	25.46	94	43.52	40	18.52	13	6.02
20020	114	18	15.79	20	17.54	44	38.60	31	27.19	1	0.88
20021	155	13	8.39	35	22.58	59	38.06	47	30.32	1	0.65
20022	288	25	8.68	20	6.94	161	55.90	63	21.88	19	6.60
20023	241	17	7.05	49	20.33	133	55.19	35	14.52	7	2.90
20024	207	19	9.18	32	15.46	99	47.83	29	14.01	28	13.53
20025	186	10	5.38	21	11.29	85	45.70	68	36.56	2	1.08
20026	229	19	8.30	27	11.79	117	51.09	47	20.52	19	8.30
20027	135	16	11.85	12	8.89	60	44.44	42	31.11	5	3.70
20028	162	21	12.96	50	30.86	55	33.95	29	17.90	7	4.32
20029	281	25	8.90	27	9.61	167	59.43	57	20.28	5	1.78
20030	105	8	7.62	18	17.14	52	49.52	20	19.05	7	6.67
20031	215	31	14.42	57	26.51	92	42.79	26	12.09	9	4.19
20032	209	19	9.09	35	16.75	94	44.98	58	27.75	3	1.44
20033	130	11	8.46	24	18.46	66	50.77	19	14.62	10	7.69
20034	252	8	3.17	37	14.68	136	53.97	44	17.46	27	10.71
20035	134	15	11.19	51	38.06	48	35.82	13	9.70	7	5.22
20036	78	5	6.41	12	15.38	40	51.28	20	25.64	1	1.28
20037	77	6	7.79	11	14.29	41	53.25	15	19.48	4	5.19
20038	86	17	19.77	8	9.30	24	27.91	35	40.70	2	2.33
20039	37	7	18.92	3	8.11	4	10.81	15	40.54	8	21.62
