Precinct	Votes	votes|Harry Osterman	pct|Harry Osterman
48001	189	189	100.00
48002	111	111	100.00
48003	209	209	100.00
48004	188	188	100.00
48005	169	169	100.00
48006	223	223	100.00
48007	193	193	100.00
48008	145	145	100.00
48009	176	176	100.00
48010	276	276	100.00
48011	204	204	100.00
48012	241	241	100.00
48013	313	313	100.00
48014	150	150	100.00
48015	147	147	100.00
48016	201	201	100.00
48017	234	234	100.00
48018	203	203	100.00
48019	164	164	100.00
48020	245	245	100.00
48021	249	249	100.00
48022	267	267	100.00
48023	315	315	100.00
48024	221	221	100.00
48025	232	232	100.00
48026	108	108	100.00
48027	172	172	100.00
48028	282	282	100.00
48029	195	195	100.00
48030	207	207	100.00
48031	250	250	100.00
48032	174	174	100.00
48033	195	195	100.00
48034	207	207	100.00
48035	160	160	100.00
48036	180	180	100.00
48037	196	196	100.00
48038	280	280	100.00
48039	199	199	100.00
48040	188	188	100.00
48041	209	209	100.00
48042	227	227	100.00
48043	226	226	100.00
48044	221	221	100.00
48045	145	145	100.00
48046	170	170	100.00
