Precinct	Votes	votes|Scott Waguespack	pct|Scott Waguespack	votes|Elise Doody-Jones	pct|Elise Doody-Jones
32001	172	124	72.09	48	27.91
32002	159	135	84.91	24	15.09
32003	273	195	71.43	78	28.57
32004	206	190	92.23	16	7.77
32005	206	183	88.83	23	11.17
32006	156	122	78.21	34	21.79
32007	190	154	81.05	36	18.95
32008	157	127	80.89	30	19.11
32009	199	166	83.42	33	16.58
32010	184	144	78.26	40	21.74
32011	213	153	71.83	60	28.17
32012	190	128	67.37	62	32.63
32013	162	124	76.54	38	23.46
32014	188	133	70.74	55	29.26
32015	186	164	88.17	22	11.83
32016	204	162	79.41	42	20.59
32017	225	168	74.67	57	25.33
32018	162	137	84.57	25	15.43
32019	161	121	75.16	40	24.84
32020	248	158	63.71	90	36.29
32021	236	200	84.75	36	15.25
32022	254	188	74.02	66	25.98
32023	202	171	84.65	31	15.35
32024	96	79	82.29	17	17.71
32025	178	142	79.78	36	20.22
32026	241	194	80.50	47	19.50
32027	185	149	80.54	36	19.46
32028	226	161	71.24	65	28.76
32029	227	186	81.94	41	18.06
32030	148	114	77.03	34	22.97
32031	176	144	81.82	32	18.18
32032	195	170	87.18	25	12.82
32033	178	138	77.53	40	22.47
32034	178	145	81.46	33	18.54
32035	167	139	83.23	28	16.77
32036	173	145	83.82	28	16.18
32037	147	109	74.15	38	25.85
32038	159	118	74.21	41	25.79
32039	156	129	82.69	27	17.31
32040	207	178	85.99	29	14.01
32041	186	152	81.72	34	18.28
32042	179	141	78.77	38	21.23
32043	203	145	71.43	58	28.57
