Precinct	Votes	votes|John K. Kozlar	pct|John K. Kozlar	votes|Patrick Daley Thompson	pct|Patrick Daley Thompson
11001	383	144	37.60	239	62.40
11002	37	13	35.14	24	64.86
11003	255	170	66.67	85	33.33
11004	355	141	39.72	214	60.28
11005	416	210	50.48	206	49.52
11006	308	141	45.78	167	54.22
11007	236	78	33.05	158	66.95
11008	357	151	42.30	206	57.70
11009	333	132	39.64	201	60.36
11010	368	142	38.59	226	61.41
11011	408	185	45.34	223	54.66
11012	625	422	67.52	203	32.48
11013	556	348	62.59	208	37.41
11014	255	82	32.16	173	67.84
11015	169	53	31.36	116	68.64
11016	295	130	44.07	165	55.93
11017	387	186	48.06	201	51.94
11018	355	140	39.44	215	60.56
11019	432	207	47.92	225	52.08
11020	307	108	35.18	199	64.82
11021	584	168	28.77	416	71.23
11022	488	243	49.80	245	50.20
11023	277	90	32.49	187	67.51
11024	508	110	21.65	398	78.35
11025	405	161	39.75	244	60.25
11026	510	191	37.45	319	62.55
11027	158	56	35.44	102	64.56
11028	211	114	54.03	97	45.97
11029	500	180	36.00	320	64.00
11030	228	50	21.93	178	78.07
11031	439	241	54.90	198	45.10
11032	240	60	25.00	180	75.00
11033	282	114	40.43	168	59.57
11034	161	50	31.06	111	68.94
11035	154	37	24.03	117	75.97
11036	181	50	27.62	131	72.38
11037	136	32	23.53	104	76.47
11038	146	86	58.90	60	41.10
