Precinct	Votes	votes|Milagros Santiago	pct|Milagros Santiago	votes|Regner ''Ray'' Suarez	pct|Regner ''Ray'' Suarez
31001	201	110	54.73	91	45.27
31002	175	86	49.14	89	50.86
31003	236	123	52.12	113	47.88
31004	231	131	56.71	100	43.29
31005	220	142	64.55	78	35.45
31006	213	79	37.09	134	62.91
31007	218	146	66.97	72	33.03
31008	151	93	61.59	58	38.41
31009	248	177	71.37	71	28.63
31010	180	101	56.11	79	43.89
31011	182	99	54.40	83	45.60
31012	180	103	57.22	77	42.78
31013	231	115	49.78	116	50.22
31014	195	117	60.00	78	40.00
31015	175	87	49.71	88	50.29
31016	237	139	58.65	98	41.35
31017	222	125	56.31	97	43.69
31018	203	96	47.29	107	52.71
31019	184	80	43.48	104	56.52
31020	202	72	35.64	130	64.36
31021	186	72	38.71	114	61.29
31022	174	102	58.62	72	41.38
31023	193	114	59.07	79	40.93
31024	222	86	38.74	136	61.26
31025	187	89	47.59	98	52.41
31026	229	110	48.03	119	51.97
31027	249	85	34.14	164	65.86
31028	173	84	48.55	89	51.45
31029	247	86	34.82	161	65.18
31030	169	90	53.25	79	46.75
31031	208	99	47.60	109	52.40
31032	173	78	45.09	95	54.91
31033	199	91	45.73	108	54.27
31034	201	115	57.21	86	42.79
31035	242	122	50.41	120	49.59
31036	243	95	39.09	148	60.91
31037	188	60	31.91	128	68.09
31038	208	104	50.00	104	50.00
31039	185	102	55.14	83	44.86
31040	204	122	59.80	82	40.20
31041	193	91	47.15	102	52.85
