Precinct	Votes	votes|Deborah L. Graham	pct|Deborah L. Graham	votes|Chris Taliaferro	pct|Chris Taliaferro
29001	386	131	33.94	255	66.06
29002	392	244	62.24	148	37.76
29003	295	182	61.69	113	38.31
29004	315	192	60.95	123	39.05
29005	251	121	48.21	130	51.79
29006	231	157	67.97	74	32.03
29007	302	87	28.81	215	71.19
29008	168	111	66.07	57	33.93
29009	371	116	31.27	255	68.73
29010	440	107	24.32	333	75.68
29011	175	84	48.00	91	52.00
29012	357	141	39.50	216	60.50
29013	299	153	51.17	146	48.83
29014	298	170	57.05	128	42.95
29015	360	162	45.00	198	55.00
29016	295	214	72.54	81	27.46
29017	269	185	68.77	84	31.23
29018	263	160	60.84	103	39.16
29019	308	147	47.73	161	52.27
29020	369	248	67.21	121	32.79
29021	276	182	65.94	94	34.06
29022	213	128	60.09	85	39.91
29023	317	66	20.82	251	79.18
29024	258	154	59.69	104	40.31
29025	342	187	54.68	155	45.32
29026	299	159	53.18	140	46.82
29027	252	136	53.97	116	46.03
29028	351	175	49.86	176	50.14
29029	291	63	21.65	228	78.35
29030	380	190	50.00	190	50.00
29031	278	71	25.54	207	74.46
29032	262	38	14.50	224	85.50
29033	249	159	63.86	90	36.14
29034	198	129	65.15	69	34.85
29035	184	120	65.22	64	34.78
29036	270	144	53.33	126	46.67
29037	276	127	46.01	149	53.99
29038	243	78	32.10	165	67.90
29039	272	78	28.68	194	71.32
29040	330	162	49.09	168	50.91
29041	249	136	54.62	113	45.38
29042	279	173	62.01	106	37.99
29043	383	120	31.33	263	68.67
29044	368	175	47.55	193	52.45
