Precinct	Votes	votes|Brian Hopkins	pct|Brian Hopkins	votes|Alyx S. Pattison	pct|Alyx S. Pattison
02001	236	106	44.92	130	55.08
02002	336	228	67.86	108	32.14
02003	263	101	38.40	162	61.60
02004	259	104	40.15	155	59.85
02005	295	142	48.14	153	51.86
02006	260	162	62.31	98	37.69
02007	266	122	45.86	144	54.14
02008	266	148	55.64	118	44.36
02009	258	159	61.63	99	38.37
02010	350	254	72.57	96	27.43
02011	363	253	69.70	110	30.30
02012	324	192	59.26	132	40.74
02013	389	228	58.61	161	41.39
02014	336	147	43.75	189	56.25
02015	257	104	40.47	153	59.53
02016	203	73	35.96	130	64.04
02017	336	153	45.54	183	54.46
02018	284	175	61.62	109	38.38
02019	293	196	66.89	97	33.11
02020	264	139	52.65	125	47.35
02021	302	109	36.09	193	63.91
02022	367	214	58.31	153	41.69
02023	316	182	57.59	134	42.41
02024	278	140	50.36	138	49.64
02025	257	93	36.19	164	63.81
02026	230	115	50.00	115	50.00
02027	278	165	59.35	113	40.65
02028	320	169	52.81	151	47.19
02029	278	184	66.19	94	33.81
02030	279	172	61.65	107	38.35
02031	455	250	54.95	205	45.05
02032	219	138	63.01	81	36.99
02033	501	313	62.48	188	37.52
02034	327	200	61.16	127	38.84
02035	253	151	59.68	102	40.32
02036	266	175	65.79	91	34.21
02037	351	219	62.39	132	37.61
02038	359	209	58.22	150	41.78
02039	233	185	79.40	48	20.60
02040	224	158	70.54	66	29.46
02041	185	111	60.00	74	40.00
02042	254	160	62.99	94	37.01
02043	338	213	63.02	125	36.98
02044	214	120	56.07	94	43.93
02045	318	174	54.72	144	45.28
02046	176	92	52.27	84	47.73
