Precinct	Votes	votes|Marty Quinn	pct|Marty Quinn
13001	209	209	100.00
13002	243	243	100.00
13003	122	122	100.00
13004	270	270	100.00
13005	241	241	100.00
13006	246	246	100.00
13007	168	168	100.00
13008	171	171	100.00
13009	175	175	100.00
13010	234	234	100.00
13011	269	269	100.00
13012	168	168	100.00
13013	208	208	100.00
13014	197	197	100.00
13015	307	307	100.00
13016	139	139	100.00
13017	204	204	100.00
13018	189	189	100.00
13019	199	199	100.00
13020	146	146	100.00
13021	286	286	100.00
13022	241	241	100.00
13023	135	135	100.00
13024	192	192	100.00
13025	214	214	100.00
13026	245	245	100.00
13027	196	196	100.00
13028	159	159	100.00
13029	166	166	100.00
13030	139	139	100.00
13031	236	236	100.00
13032	224	224	100.00
13033	210	210	100.00
13034	250	250	100.00
13035	192	192	100.00
13036	121	121	100.00
13037	248	248	100.00
13038	217	217	100.00
13039	213	213	100.00
13040	177	177	100.00
13041	206	206	100.00
13042	243	243	100.00
13043	247	247	100.00
13044	342	342	100.00
13045	249	249	100.00
13046	214	214	100.00
13047	191	191	100.00
13048	206	206	100.00
