Precinct	Votes	votes|John A. Pope	pct|John A. Pope	votes|Susan Sadlowski Garza	pct|Susan Sadlowski Garza
10001	249	124	49.80	125	50.20
10002	380	201	52.89	179	47.11
10003	368	238	64.67	130	35.33
10004	254	102	40.16	152	59.84
10005	306	187	61.11	119	38.89
10006	301	186	61.79	115	38.21
10007	232	101	43.53	131	56.47
10008	163	65	39.88	98	60.12
10009	399	246	61.65	153	38.35
10010	381	178	46.72	203	53.28
10011	473	196	41.44	277	58.56
10012	248	115	46.37	133	53.63
10013	366	185	50.55	181	49.45
10014	496	213	42.94	283	57.06
10015	545	325	59.63	220	40.37
10016	281	174	61.92	107	38.08
10017	496	330	66.53	166	33.47
10018	194	92	47.42	102	52.58
10019	417	198	47.48	219	52.52
10020	411	174	42.34	237	57.66
10021	386	193	50.00	193	50.00
10022	191	91	47.64	100	52.36
10023	338	140	41.42	198	58.58
10024	413	269	65.13	144	34.87
10025	94	52	55.32	42	44.68
10026	262	132	50.38	130	49.62
10027	279	143	51.25	136	48.75
10028	425	137	32.24	288	67.76
10029	340	142	41.76	198	58.24
10030	323	121	37.46	202	62.54
10031	256	99	38.67	157	61.33
10032	364	149	40.93	215	59.07
10033	251	106	42.23	145	57.77
10034	207	109	52.66	98	47.34
10035	455	253	55.60	202	44.40
10036	86	39	45.35	47	54.65
