Precinct	Register Voters	Ballots Cast	Turnout %
01001	732	196	26.78
01002	682	195	28.59
01003	795	212	26.67
01004	766	233	30.42
01005	764	171	22.38
01006	731	218	29.82
01007	457	154	33.70
01008	703	232	33.00
01009	528	204	38.64
01010	778	186	23.91
01011	739	181	24.49
01012	858	228	26.57
01013	337	102	30.27
01014	700	223	31.86
01015	660	197	29.85
01016	534	197	36.89
01017	653	208	31.85
01018	770	225	29.22
01019	902	305	33.81
01020	624	186	29.81
01021	771	176	22.83
01022	506	132	26.09
01023	941	310	32.94
01024	709	172	24.26
01025	709	158	22.28
01026	639	161	25.20
01027	742	172	23.18
01028	326	133	40.80
01029	668	224	33.53
01030	810	254	31.36
01031	745	218	29.26
01032	662	197	29.76
01033	810	236	29.14
01034	591	182	30.80
01035	773	223	28.85
01036	695	195	28.06
01037	685	207	30.22
01038	656	222	33.84
01039	681	181	26.58
01040	706	231	32.72
01041	429	155	36.13
01042	221	58	26.24
01043	501	171	34.13
01044	543	145	26.70
02001	781	187	23.94
02002	562	245	43.59
02003	751	196	26.10
02004	719	205	28.51
02005	804	204	25.37
02006	760	197	25.92
02007	933	199	21.33
02008	794	203	25.57
02009	683	169	24.74
02010	678	258	38.05
02011	628	275	43.79
02012	714	251	35.15
02013	645	340	52.71
02014	744	293	39.38
02015	697	211	30.27
02016	706	165	23.37
02017	842	305	36.22
02018	599	234	39.07
02019	536	254	47.39
02020	835	156	18.68
02021	730	236	32.33
02022	731	282	38.58
02023	536	249	46.46
02024	686	213	31.05
02025	727	199	27.37
02026	724	205	28.31
02027	644	232	36.02
02028	809	253	31.27
02029	772	220	28.50
02030	646	212	32.82
02031	944	344	36.44
02032	620	169	27.26
02033	935	376	40.21
02034	566	242	42.76
02035	894	195	21.81
02036	559	225	40.25
02037	624	274	43.91
02038	674	280	41.54
02039	570	217	38.07
02040	758	185	24.41
02041	733	134	18.28
02042	721	206	28.57
02043	789	273	34.60
02044	425	163	38.35
02045	752	281	37.37
02046	458	123	26.86
03001	1041	301	28.91
03002	763	434	56.88
03003	792	296	37.37
03004	798	294	36.84
03005	706	196	27.76
03006	795	261	32.83
03007	622	276	44.37
03008	798	200	25.06
03009	733	298	40.65
03010	653	157	24.04
03011	772	255	33.03
03012	722	335	46.40
03013	788	305	38.71
03014	701	202	28.82
03015	757	234	30.91
03016	833	242	29.05
03017	795	263	33.08
03018	1183	342	28.91
03019	729	227	31.14
03020	848	266	31.37
03021	807	312	38.66
03022	811	228	28.11
03023	774	253	32.69
03024	791	254	32.11
03025	931	291	31.26
03026	778	364	46.79
03027	778	226	29.05
03028	650	249	38.31
03029	962	280	29.11
03030	773	294	38.03
03031	850	300	35.29
03032	811	265	32.68
03033	818	187	22.86
03034	852	298	34.98
03035	550	122	22.18
03036	649	144	22.19
03037	741	221	29.82
03038	638	315	49.37
03039	749	212	28.30
03040	832	305	36.66
03041	768	282	36.72
04001	800	355	44.38
04002	735	281	38.23
04003	790	272	34.43
04004	985	355	36.04
04005	720	327	45.42
04006	895	411	45.92
04007	848	374	44.10
04008	819	365	44.57
04009	799	466	58.32
04010	849	346	40.75
04011	898	302	33.63
04012	853	294	34.47
04013	599	139	23.21
04014	751	312	41.54
04015	876	370	42.24
04016	822	234	28.47
04017	742	268	36.12
04018	770	315	40.91
04019	925	263	28.43
04020	674	299	44.36
04021	868	246	28.34
04022	762	324	42.52
04023	892	374	41.93
04024	770	265	34.42
04025	725	255	35.17
04026	812	337	41.50
04027	802	314	39.15
04028	703	330	46.94
04029	766	249	32.51
04030	1055	352	33.36
04031	652	393	60.28
04032	834	285	34.17
04033	827	343	41.48
04034	704	272	38.64
04035	968	395	40.81
04036	849	347	40.87
04037	729	293	40.19
04038	783	360	45.98
05001	773	229	29.62
05002	783	226	28.86
05003	645	278	43.10
05004	785	297	37.83
05005	783	296	37.80
05006	730	254	34.79
05007	590	269	45.59
05008	634	303	47.79
05009	767	323	42.11
05010	760	222	29.21
05011	675	338	50.07
05012	792	201	25.38
05013	741	257	34.68
05014	595	317	53.28
05015	643	266	41.37
05016	858	268	31.24
05017	800	232	29.00
05018	574	267	46.52
05019	659	317	48.10
05020	728	343	47.12
05021	671	267	39.79
05022	672	369	54.91
05023	997	449	45.04
05024	708	292	41.24
05025	771	292	37.87
05026	738	260	35.23
05027	610	237	38.85
05028	781	339	43.41
05029	853	350	41.03
05030	795	192	24.15
05031	736	229	31.11
05032	736	355	48.23
05033	808	323	39.98
05034	733	338	46.11
05035	633	317	50.08
05036	676	219	32.40
05037	699	364	52.07
05038	805	253	31.43
05039	582	273	46.91
05040	672	255	37.95
05041	330	206	62.42
06001	702	323	46.01
06002	699	292	41.77
06003	654	306	46.79
06004	638	195	30.56
06005	765	178	23.27
06006	661	274	41.45
06007	707	242	34.23
06008	653	290	44.41
06009	820	224	27.32
06010	663	144	21.72
06011	752	232	30.85
06012	765	150	19.61
06013	585	221	37.78
06014	759	263	34.65
06015	924	203	21.97
06016	694	311	44.81
06017	704	180	25.57
06018	684	208	30.41
06019	691	246	35.60
06020	662	134	20.24
06021	666	159	23.87
06022	683	183	26.79
06023	711	148	20.82
06024	638	151	23.67
06025	685	145	21.17
06026	770	160	20.78
06027	693	145	20.92
06028	674	136	20.18
06029	669	329	49.18
06030	784	200	25.51
06031	660	287	43.48
06032	697	258	37.02
06033	720	277	38.47
06034	671	273	40.69
06035	631	267	42.31
06036	661	289	43.72
06037	658	330	50.15
06038	693	319	46.03
06039	791	244	30.85
06040	662	236	35.65
06041	699	259	37.05
06042	816	263	32.23
06043	712	243	34.13
06044	771	296	38.39
06045	708	284	40.11
06046	561	221	39.39
06047	657	193	29.38
06048	735	251	34.15
07001	713	209	29.31
07002	855	204	23.86
07003	628	251	39.97
07004	641	239	37.29
07005	661	230	34.80
07006	783	294	37.55
07007	760	181	23.82
07008	675	252	37.33
07009	1012	454	44.86
07010	706	262	37.11
07011	783	245	31.29
07012	735	212	28.84
07013	517	198	38.30
07014	766	243	31.72
07015	736	278	37.77
07016	751	186	24.77
07017	699	185	26.47
07018	743	204	27.46
07019	694	220	31.70
07020	678	168	24.78
07021	750	175	23.33
07022	716	208	29.05
07023	653	278	42.57
07024	736	254	34.51
07025	779	205	26.32
07026	565	213	37.70
07027	640	223	34.84
07028	620	179	28.87
07029	661	212	32.07
07030	719	177	24.62
07031	595	148	24.87
07032	761	393	51.64
07033	749	373	49.80
07034	776	315	40.59
07035	748	241	32.22
07036	776	324	41.75
07037	724	303	41.85
07038	661	181	27.38
07039	663	223	33.63
07040	649	255	39.29
07041	731	223	30.51
07042	670	219	32.69
07043	703	243	34.57
07044	720	207	28.75
07045	843	228	27.05
07046	271	134	49.45
08001	720	183	25.42
08002	837	229	27.36
08003	672	329	48.96
08004	647	306	47.30
08005	664	339	51.05
08006	739	264	35.72
08007	763	325	42.60
08008	626	305	48.72
08009	453	184	40.62
08010	694	361	52.02
08011	667	256	38.38
08012	619	228	36.83
08013	900	288	32.00
08014	687	130	18.92
08015	701	227	32.38
08016	344	72	20.93
08017	538	246	45.72
08018	897	210	23.41
08019	746	347	46.51
08020	743	286	38.49
08021	889	285	32.06
08022	676	239	35.36
08023	691	208	30.10
08024	364	171	46.98
08025	752	233	30.98
08026	803	235	29.27
08027	661	303	45.84
08028	747	280	37.48
08029	862	290	33.64
08030	766	291	37.99
08031	612	212	34.64
08032	560	225	40.18
08033	689	261	37.88
08034	668	260	38.92
08035	716	316	44.13
08036	710	282	39.72
08037	525	250	47.62
08038	545	179	32.84
08039	690	270	39.13
08040	509	196	38.51
08041	731	259	35.43
08042	836	319	38.16
08043	459	133	28.98
08044	525	178	33.90
08045	784	185	23.60
08046	591	198	33.50
08047	606	227	37.46
08048	788	220	27.92
08049	668	267	39.97
08050	696	303	43.53
08051	665	289	43.46
08052	829	368	44.39
08053	395	156	39.49
08054	712	171	24.02
