Precinct	Votes	votes|John Garrido	pct|John Garrido	votes|John S. Arena	pct|John S. Arena	votes|Michelle R. Baert	pct|Michelle R. Baert	votes|Michael S. Diaz	pct|Michael S. Diaz
45001	205	31	15.12	145	70.73	25	12.20	4	1.95
45002	195	34	17.44	126	64.62	34	17.44	1	0.51
45003	227	53	23.35	134	59.03	30	13.22	10	4.41
45004	338	105	31.07	201	59.47	22	6.51	10	2.96
45005	308	92	29.87	171	55.52	41	13.31	4	1.30
45006	358	132	36.87	175	48.88	49	13.69	2	0.56
45007	396	89	22.47	239	60.35	55	13.89	13	3.28
45008	260	64	24.62	155	59.62	31	11.92	10	3.85
45009	269	59	21.93	163	60.59	42	15.61	5	1.86
45010	290	87	30.00	172	59.31	27	9.31	4	1.38
45011	190	31	16.32	145	76.32	13	6.84	1	0.53
45012	263	75	28.52	149	56.65	31	11.79	8	3.04
45013	297	90	30.30	189	63.64	15	5.05	3	1.01
45014	336	118	35.12	166	49.40	48	14.29	4	1.19
45015	426	149	34.98	200	46.95	75	17.61	2	0.47
45016	261	88	33.72	119	45.59	50	19.16	4	1.53
45017	310	88	28.39	184	59.35	31	10.00	7	2.26
45018	297	116	39.06	124	41.75	51	17.17	6	2.02
45019	160	44	27.50	90	56.25	23	14.38	3	1.88
45020	183	61	33.33	96	52.46	17	9.29	9	4.92
45021	298	132	44.30	119	39.93	41	13.76	6	2.01
45022	271	121	44.65	114	42.07	30	11.07	6	2.21
45023	299	125	41.81	134	44.82	38	12.71	2	0.67
45024	263	148	56.27	89	33.84	25	9.51	1	0.38
45025	217	102	47.00	85	39.17	30	13.82	0	0
45026	166	70	42.17	64	38.55	32	19.28	0	0
45027	265	119	44.91	97	36.60	45	16.98	4	1.51
45028	237	99	41.77	111	46.84	24	10.13	3	1.27
45029	201	95	47.26	79	39.30	21	10.45	6	2.99
45030	247	59	23.89	135	54.66	47	19.03	6	2.43
45031	251	91	36.25	109	43.43	48	19.12	3	1.20
45032	247	92	37.25	112	45.34	41	16.60	2	0.81
45033	175	68	38.86	77	44.00	26	14.86	4	2.29
45034	298	168	56.38	92	30.87	34	11.41	4	1.34
45035	344	122	35.47	169	49.13	45	13.08	8	2.33
45036	340	141	41.47	161	47.35	35	10.29	3	0.88
45037	280	110	39.29	122	43.57	45	16.07	3	1.07
45038	248	123	49.60	82	33.06	36	14.52	7	2.82
45039	278	127	45.68	95	34.17	53	19.06	3	1.08
45040	301	175	58.14	80	26.58	43	14.29	3	1.00
45041	310	215	69.35	56	18.06	36	11.61	3	0.97
45042	339	237	69.91	75	22.12	24	7.08	3	0.88
45043	347	201	57.93	101	29.11	45	12.97	0	0
45044	320	200	62.50	83	25.94	36	11.25	1	0.31
45045	221	116	52.49	77	34.84	26	11.76	2	0.90
45046	201	85	42.29	79	39.30	33	16.42	4	1.99
45047	241	112	46.47	94	39.00	32	13.28	3	1.24
45048	234	105	44.87	80	34.19	45	19.23	4	1.71
