Precinct	Votes	votes|Pat Dowell	pct|Pat Dowell	votes|Patricia Horton	pct|Patricia Horton
03001	289	183	63.32	106	36.68
03002	421	356	84.56	65	15.44
03003	276	224	81.16	52	18.84
03004	287	215	74.91	72	25.09
03005	190	133	70.00	57	30.00
03006	246	187	76.02	59	23.98
03007	265	206	77.74	59	22.26
03008	189	132	69.84	57	30.16
03009	289	203	70.24	86	29.76
03010	151	105	69.54	46	30.46
03011	245	160	65.31	85	34.69
03012	326	252	77.30	74	22.70
03013	295	262	88.81	33	11.19
03014	183	131	71.58	52	28.42
03015	232	138	59.48	94	40.52
03016	233	154	66.09	79	33.91
03017	242	173	71.49	69	28.51
03018	330	246	74.55	84	25.45
03019	204	151	74.02	53	25.98
03020	256	188	73.44	68	26.56
03021	264	194	73.48	70	26.52
03022	215	163	75.81	52	24.19
03023	237	152	64.14	85	35.86
03024	244	161	65.98	83	34.02
03025	263	198	75.29	65	24.71
03026	330	258	78.18	72	21.82
03027	210	154	73.33	56	26.67
03028	244	206	84.43	38	15.57
03029	272	164	60.29	108	39.71
03030	285	199	69.82	86	30.18
03031	294	217	73.81	77	26.19
03032	232	170	73.28	62	26.72
03033	174	129	74.14	45	25.86
03034	274	193	70.44	81	29.56
03035	118	75	63.56	43	36.44
03036	136	69	50.74	67	49.26
03037	213	165	77.46	48	22.54
03038	308	241	78.25	67	21.75
03039	190	143	75.26	47	24.74
03040	286	189	66.08	97	33.92
03041	271	202	74.54	69	25.46
