Precinct	Votes	votes|John Garrido	pct|John Garrido	votes|John S. Arena	pct|John S. Arena
45001	260	70	26.92	190	73.08
45002	276	88	31.88	188	68.12
45003	282	93	32.98	189	67.02
45004	406	144	35.47	262	64.53
45005	372	139	37.37	233	62.63
45006	446	182	40.81	264	59.19
45007	484	192	39.67	292	60.33
45008	327	114	34.86	213	65.14
45009	331	92	27.79	239	72.21
45010	391	112	28.64	279	71.36
45011	255	53	20.78	202	79.22
45012	322	113	35.09	209	64.91
45013	352	112	31.82	240	68.18
45014	425	171	40.24	254	59.76
45015	471	211	44.80	260	55.20
45016	320	141	44.06	179	55.94
45017	380	137	36.05	243	63.95
45018	356	166	46.63	190	53.37
45019	170	68	40.00	102	60.00
45020	221	104	47.06	117	52.94
45021	332	172	51.81	160	48.19
45022	325	167	51.38	158	48.62
45023	361	165	45.71	196	54.29
45024	323	180	55.73	143	44.27
45025	284	148	52.11	136	47.89
45026	190	93	48.95	97	51.05
45027	318	166	52.20	152	47.80
45028	272	136	50.00	136	50.00
45029	225	121	53.78	104	46.22
45030	304	115	37.83	189	62.17
45031	289	137	47.40	152	52.60
45032	320	140	43.75	180	56.25
45033	236	100	42.37	136	57.63
45034	367	192	52.32	175	47.68
45035	420	190	45.24	230	54.76
45036	403	192	47.64	211	52.36
45037	327	133	40.67	194	59.33
45038	288	158	54.86	130	45.14
45039	321	190	59.19	131	40.81
45040	362	237	65.47	125	34.53
45041	341	239	70.09	102	29.91
45042	399	296	74.19	103	25.81
45043	429	264	61.54	165	38.46
45044	380	259	68.16	121	31.84
45045	243	112	46.09	131	53.91
45046	263	142	53.99	121	46.01
45047	289	171	59.17	118	40.83
45048	293	146	49.83	147	50.17
