Precinct	Votes	votes|Emma M. Mitts	pct|Emma M. Mitts	votes|Tara Stamps	pct|Tara Stamps
37001	225	153	68.00	72	32.00
37002	173	81	46.82	92	53.18
37003	164	93	56.71	71	43.29
37004	218	97	44.50	121	55.50
37005	294	128	43.54	166	56.46
37006	266	125	46.99	141	53.01
37007	187	120	64.17	67	35.83
37008	190	100	52.63	90	47.37
37009	246	91	36.99	155	63.01
37010	310	163	52.58	147	47.42
37011	172	107	62.21	65	37.79
37012	186	86	46.24	100	53.76
37013	188	114	60.64	74	39.36
37014	263	152	57.79	111	42.21
37015	286	190	66.43	96	33.57
37016	266	133	50.00	133	50.00
37017	215	124	57.67	91	42.33
37018	264	136	51.52	128	48.48
37019	182	105	57.69	77	42.31
37020	207	112	54.11	95	45.89
37021	240	143	59.58	97	40.42
37022	235	122	51.91	113	48.09
37023	269	145	53.90	124	46.10
37024	276	132	47.83	144	52.17
37025	257	141	54.86	116	45.14
37026	338	191	56.51	147	43.49
37027	269	153	56.88	116	43.12
37028	205	120	58.54	85	41.46
37029	281	130	46.26	151	53.74
37030	239	129	53.97	110	46.03
37031	292	127	43.49	165	56.51
37032	246	99	40.24	147	59.76
37033	271	162	59.78	109	40.22
37034	256	170	66.41	86	33.59
37035	279	168	60.22	111	39.78
37036	209	117	55.98	92	44.02
37037	264	131	49.62	133	50.38
37038	302	128	42.38	174	57.62
37039	230	129	56.09	101	43.91
37040	292	148	50.68	144	49.32
37041	322	145	45.03	177	54.97
