Precinct	Votes	votes|Matthew J. O'Shea	pct|Matthew J. O'Shea	votes|Anne Schaible	pct|Anne Schaible
19001	317	256	80.76	61	19.24
19002	426	318	74.65	108	25.35
19003	237	165	69.62	72	30.38
19004	377	275	72.94	102	27.06
19005	370	236	63.78	134	36.22
19006	336	234	69.64	102	30.36
19007	317	249	78.55	68	21.45
19008	335	254	75.82	81	24.18
19009	253	204	80.63	49	19.37
19010	381	258	67.72	123	32.28
19011	322	234	72.67	88	27.33
19012	273	201	73.63	72	26.37
19013	349	248	71.06	101	28.94
19014	335	232	69.25	103	30.75
19015	419	288	68.74	131	31.26
19016	321	261	81.31	60	18.69
19017	292	215	73.63	77	26.37
19018	304	235	77.30	69	22.70
19019	394	257	65.23	137	34.77
19020	253	180	71.15	73	28.85
19021	343	250	72.89	93	27.11
19022	346	232	67.05	114	32.95
19023	328	252	76.83	76	23.17
19024	253	193	76.28	60	23.72
19025	304	189	62.17	115	37.83
19026	328	237	72.26	91	27.74
19027	303	226	74.59	77	25.41
19028	330	268	81.21	62	18.79
19029	290	195	67.24	95	32.76
19030	262	184	70.23	78	29.77
19031	292	201	68.84	91	31.16
19032	295	216	73.22	79	26.78
19033	320	239	74.69	81	25.31
19034	320	243	75.94	77	24.06
19035	282	207	73.40	75	26.60
19036	331	245	74.02	86	25.98
19037	294	228	77.55	66	22.45
19038	277	208	75.09	69	24.91
19039	75	47	62.67	28	37.33
19040	324	224	69.14	100	30.86
19041	288	205	71.18	83	28.82
19042	251	161	64.14	90	35.86
19043	362	302	83.43	60	16.57
19044	345	258	74.78	87	25.22
19045	337	271	80.42	66	19.58
19046	352	269	76.42	83	23.58
19047	455	323	70.99	132	29.01
19048	305	244	80.00	61	20.00
19049	398	284	71.36	114	28.64
19050	245	178	72.65	67	27.35
19051	380	315	82.89	65	17.11
19052	324	212	65.43	112	34.57
19053	311	222	71.38	89	28.62
19054	247	169	68.42	78	31.58
19055	279	197	70.61	82	29.39
19056	368	202	54.89	166	45.11
19057	277	192	69.31	85	30.69
