Precinct	Votes	votes|Marvin Mcneil	pct|Marvin Mcneil	votes|Howard B. Brookins, Jr.	pct|Howard B. Brookins, Jr.
21001	325	136	41.85	189	58.15
21002	200	121	60.50	79	39.50
21003	303	151	49.83	152	50.17
21004	280	159	56.79	121	43.21
21005	333	165	49.55	168	50.45
21006	252	151	59.92	101	40.08
21007	318	145	45.60	173	54.40
21008	264	122	46.21	142	53.79
21009	330	157	47.58	173	52.42
21010	278	149	53.60	129	46.40
21011	286	190	66.43	96	33.57
21012	262	134	51.15	128	48.85
21013	246	93	37.80	153	62.20
21014	347	148	42.65	199	57.35
21015	256	103	40.23	153	59.77
21016	263	139	52.85	124	47.15
21017	246	147	59.76	99	40.24
21018	321	146	45.48	175	54.52
21019	297	108	36.36	189	63.64
21020	274	135	49.27	139	50.73
21021	232	114	49.14	118	50.86
21022	279	139	49.82	140	50.18
21023	261	141	54.02	120	45.98
21024	286	105	36.71	181	63.29
21025	278	107	38.49	171	61.51
21026	250	117	46.80	133	53.20
21027	291	168	57.73	123	42.27
21028	324	158	48.77	166	51.23
21029	283	125	44.17	158	55.83
21030	188	83	44.15	105	55.85
21031	218	106	48.62	112	51.38
21032	266	116	43.61	150	56.39
21033	286	112	39.16	174	60.84
21034	268	164	61.19	104	38.81
21035	304	201	66.12	103	33.88
21036	280	139	49.64	141	50.36
21037	239	120	50.21	119	49.79
21038	240	111	46.25	129	53.75
21039	207	130	62.80	77	37.20
21040	241	112	46.47	129	53.53
21041	307	132	43.00	175	57.00
21042	310	150	48.39	160	51.61
21043	284	157	55.28	127	44.72
21044	295	163	55.25	132	44.75
21045	281	140	49.82	141	50.18
21046	322	160	49.69	162	50.31
21047	241	114	47.30	127	52.70
21048	257	112	43.58	145	56.42
21049	327	149	45.57	178	54.43
21050	238	120	50.42	118	49.58
21051	321	169	52.65	152	47.35
21052	296	122	41.22	174	58.78
21053	226	97	42.92	129	57.08
21054	228	109	47.81	119	52.19
