Precinct	Votes	votes|Susana A. Mendoza	pct|Susana A. Mendoza
04023	301	301	100.00
04024	205	205	100.00
04025	221	221	100.00
04026	251	251	100.00
04027	242	242	100.00
04028	287	287	100.00
04029	206	206	100.00
04030	279	279	100.00
04031	324	324	100.00
04032	248	248	100.00
04033	272	272	100.00
04034	205	205	100.00
04035	339	339	100.00
04036	282	282	100.00
04037	246	246	100.00
04038	316	316	100.00
05001	177	177	100.00
05002	191	191	100.00
05003	206	206	100.00
05004	244	244	100.00
05005	236	236	100.00
05006	196	196	100.00
05007	222	222	100.00
05008	227	227	100.00
05009	262	262	100.00
05010	173	173	100.00
05011	276	276	100.00
05012	166	166	100.00
05013	211	211	100.00
05014	259	259	100.00
05015	221	221	100.00
05016	221	221	100.00
05017	177	177	100.00
05018	216	216	100.00
05019	231	231	100.00
05020	279	279	100.00
05021	206	206	100.00
05022	295	295	100.00
05023	345	345	100.00
05024	221	221	100.00
05025	239	239	100.00
05026	210	210	100.00
05027	170	170	100.00
05028	279	279	100.00
05029	280	280	100.00
05030	149	149	100.00
05031	179	179	100.00
05032	288	288	100.00
05033	264	264	100.00
05034	236	236	100.00
05035	257	257	100.00
05036	170	170	100.00
05037	269	269	100.00
05038	208	208	100.00
05039	206	206	100.00
05040	203	203	100.00
05041	177	177	100.00
06001	268	268	100.00
06002	245	245	100.00
06003	258	258	100.00
06004	155	155	100.00
06005	152	152	100.00
06006	229	229	100.00
06007	207	207	100.00
06008	248	248	100.00
06009	187	187	100.00
06010	115	115	100.00
06011	189	189	100.00
06012	136	136	100.00
06013	185	185	100.00
06014	216	216	100.00
06015	152	152	100.00
06016	247	247	100.00
06017	141	141	100.00
06018	164	164	100.00
06019	194	194	100.00
06020	110	110	100.00
06021	128	128	100.00
06022	151	151	100.00
06023	117	117	100.00
06024	113	113	100.00
06025	108	108	100.00
06026	125	125	100.00
06027	115	115	100.00
06028	109	109	100.00
06029	281	281	100.00
06030	154	154	100.00
06031	250	250	100.00
06032	217	217	100.00
06033	225	225	100.00
06034	236	236	100.00
06035	219	219	100.00
06036	245	245	100.00
06037	284	284	100.00
06038	271	271	100.00
06039	186	186	100.00
06040	202	202	100.00
06041	217	217	100.00
06042	220	220	100.00
06043	195	195	100.00
06044	236	236	100.00
06045	242	242	100.00
06046	198	198	100.00
06047	156	156	100.00
06048	201	201	100.00
07001	171	171	100.00
07002	154	154	100.00
07003	214	214	100.00
07004	193	193	100.00
07005	180	180	100.00
07006	233	233	100.00
07007	146	146	100.00
07008	177	177	100.00
07009	359	359	100.00
07010	223	223	100.00
07011	208	208	100.00
07012	170	170	100.00
07013	165	165	100.00
07014	191	191	100.00
07015	230	230	100.00
07016	152	152	100.00
07017	137	137	100.00
07018	156	156	100.00
07019	187	187	100.00
07020	134	134	100.00
07021	147	147	100.00
07022	178	178	100.00
07023	232	232	100.00
07024	202	202	100.00
07025	173	173	100.00
07026	182	182	100.00
07027	187	187	100.00
07028	147	147	100.00
07029	181	181	100.00
07030	146	146	100.00
07031	127	127	100.00
07032	334	334	100.00
07033	314	314	100.00
07034	269	269	100.00
07035	204	204	100.00
07036	281	281	100.00
07037	255	255	100.00
07038	152	152	100.00
07039	183	183	100.00
07040	203	203	100.00
07041	190	190	100.00
07042	177	177	100.00
07043	192	192	100.00
07044	175	175	100.00
07045	184	184	100.00
07046	112	112	100.00
08001	148	148	100.00
08002	196	196	100.00
08003	288	288	100.00
08004	263	263	100.00
08005	297	297	100.00
08006	235	235	100.00
08007	286	286	100.00
08008	258	258	100.00
08009	163	163	100.00
08010	323	323	100.00
08011	217	217	100.00
08012	203	203	100.00
08013	247	247	100.00
08014	116	116	100.00
08015	182	182	100.00
08016	59	59	100.00
08017	206	206	100.00
08018	172	172	100.00
08019	296	296	100.00
08020	237	237	100.00
08021	240	240	100.00
08022	207	207	100.00
08023	184	184	100.00
08024	147	147	100.00
08025	200	200	100.00
08026	195	195	100.00
08027	258	258	100.00
08028	237	237	100.00
08029	248	248	100.00
08030	239	239	100.00
08031	184	184	100.00
08032	203	203	100.00
08033	209	209	100.00
08034	224	224	100.00
08035	269	269	100.00
08036	248	248	100.00
08037	225	225	100.00
08038	148	148	100.00
08039	233	233	100.00
08040	173	173	100.00
08041	209	209	100.00
08042	263	263	100.00
08043	108	108	100.00
08044	153	153	100.00
08045	147	147	100.00
08046	169	169	100.00
08047	196	196	100.00
08048	190	190	100.00
08049	227	227	100.00
08050	259	259	100.00
08051	242	242	100.00
08052	321	321	100.00
08053	128	128	100.00
08054	152	152	100.00
08055	143	143	100.00
08056	245	245	100.00
09001	204	204	100.00
09002	185	185	100.00
09003	113	113	100.00
09004	168	168	100.00
09005	207	207	100.00
09006	213	213	100.00
09007	143	143	100.00
09008	163	163	100.00
09009	246	246	100.00
09010	168	168	100.00
09011	139	139	100.00
09012	238	238	100.00
09013	264	264	100.00
09014	300	300	100.00
09015	113	113	100.00
09016	193	193	100.00
09017	148	148	100.00
09018	130	130	100.00
09019	188	188	100.00
09020	239	239	100.00
09021	178	178	100.00
09022	228	228	100.00
09023	231	231	100.00
09024	228	228	100.00
09025	221	221	100.00
09026	117	117	100.00
09027	191	191	100.00
09028	114	114	100.00
09029	172	172	100.00
09030	168	168	100.00
09031	163	163	100.00
09032	184	184	100.00
09033	141	141	100.00
09034	154	154	100.00
09035	239	239	100.00
09036	182	182	100.00
09037	274	274	100.00
09038	196	196	100.00
09039	226	226	100.00
09040	239	239	100.00
09041	190	190	100.00
09042	261	261	100.00
09043	169	169	100.00
09044	201	201	100.00
09045	160	160	100.00
09046	219	219	100.00
09047	270	270	100.00
09048	224	224	100.00
09049	191	191	100.00
09050	306	306	100.00
09051	241	241	100.00
10001	203	203	100.00
10002	275	275	100.00
10003	264	264	100.00
10004	157	157	100.00
10005	214	214	100.00
10006	205	205	100.00
10007	171	171	100.00
10008	109	109	100.00
10009	275	275	100.00
10010	289	289	100.00
10011	308	308	100.00
10012	174	174	100.00
10013	261	261	100.00
10014	368	368	100.00
10015	402	402	100.00
10016	165	165	100.00
10017	347	347	100.00
10018	123	123	100.00
10019	284	284	100.00
10020	285	285	100.00
10021	277	277	100.00
10022	132	132	100.00
10023	239	239	100.00
10024	286	286	100.00
10025	67	67	100.00
10026	140	140	100.00
10027	187	187	100.00
10028	310	310	100.00
10029	215	215	100.00
10030	216	216	100.00
10031	197	197	100.00
10032	237	237	100.00
10033	177	177	100.00
10034	133	133	100.00
10035	319	319	100.00
10036	57	57	100.00
11001	268	268	100.00
11002	28	28	100.00
11003	151	151	100.00
11004	228	228	100.00
11005	224	224	100.00
11006	205	205	100.00
11007	146	146	100.00
11008	206	206	100.00
11009	217	217	100.00
11010	231	231	100.00
11011	242	242	100.00
11012	449	449	100.00
11013	403	403	100.00
11014	131	131	100.00
11015	99	99	100.00
11016	170	170	100.00
11017	245	245	100.00
11018	211	211	100.00
11019	281	281	100.00
11020	201	201	100.00
11021	419	419	100.00
11022	318	318	100.00
11023	171	171	100.00
11024	405	405	100.00
11025	265	265	100.00
11026	331	331	100.00
11027	82	82	100.00
11028	162	162	100.00
11029	323	323	100.00
11030	107	107	100.00
11031	295	295	100.00
11032	154	154	100.00
11033	176	176	100.00
11034	89	89	100.00
11035	96	96	100.00
11036	112	112	100.00
11037	66	66	100.00
11038	85	85	100.00
12001	235	235	100.00
12002	171	171	100.00
12003	262	262	100.00
12004	208	208	100.00
12005	193	193	100.00
12006	207	207	100.00
12007	166	166	100.00
12008	216	216	100.00
12009	175	175	100.00
12010	154	154	100.00
12011	201	201	100.00
12012	170	170	100.00
12013	205	205	100.00
12014	160	160	100.00
12015	179	179	100.00
12016	164	164	100.00
12017	204	204	100.00
12018	157	157	100.00
12019	180	180	100.00
12020	210	210	100.00
12021	206	206	100.00
12022	141	141	100.00
12023	205	205	100.00
13001	207	207	100.00
13002	221	221	100.00
13003	123	123	100.00
13004	269	269	100.00
13005	247	247	100.00
13006	250	250	100.00
13007	178	178	100.00
13008	177	177	100.00
13009	175	175	100.00
13010	225	225	100.00
13011	262	262	100.00
13012	169	169	100.00
13013	219	219	100.00
13014	193	193	100.00
13015	323	323	100.00
13016	149	149	100.00
13017	207	207	100.00
13018	182	182	100.00
13019	214	214	100.00
13020	146	146	100.00
13021	264	264	100.00
13022	243	243	100.00
13023	153	153	100.00
13024	191	191	100.00
13025	220	220	100.00
13026	249	249	100.00
13027	200	200	100.00
13028	169	169	100.00
13029	169	169	100.00
13030	146	146	100.00
13031	244	244	100.00
13032	220	220	100.00
13033	205	205	100.00
13034	265	265	100.00
13035	195	195	100.00
13036	125	125	100.00
13037	261	261	100.00
13038	213	213	100.00
13039	218	218	100.00
13040	175	175	100.00
13041	216	216	100.00
13042	232	232	100.00
13043	258	258	100.00
13044	354	354	100.00
13045	258	258	100.00
13046	232	232	100.00
13047	208	208	100.00
13048	206	206	100.00
14001	302	302	100.00
14002	294	294	100.00
14003	188	188	100.00
14004	210	210	100.00
14005	264	264	100.00
14006	107	107	100.00
14007	203	203	100.00
14008	181	181	100.00
14009	259	259	100.00
14010	134	134	100.00
14011	127	127	100.00
14012	198	198	100.00
14013	170	170	100.00
14014	177	177	100.00
14015	181	181	100.00
14016	162	162	100.00
14017	205	205	100.00
14018	80	80	100.00
14019	181	181	100.00
14020	120	120	100.00
14021	198	198	100.00
14022	189	189	100.00
14023	195	195	100.00
14024	297	297	100.00
14025	128	128	100.00
14026	112	112	100.00
14027	172	172	100.00
14028	128	128	100.00
14029	169	169	100.00
14030	73	73	100.00
14031	105	105	100.00
15001	212	212	100.00
15002	112	112	100.00
15003	131	131	100.00
15004	198	198	100.00
15005	169	169	100.00
15006	193	193	100.00
15007	148	148	100.00
15008	195	195	100.00
15009	249	249	100.00
15010	227	227	100.00
15011	218	218	100.00
15012	237	237	100.00
15013	166	166	100.00
15014	126	126	100.00
15015	140	140	100.00
15016	189	189	100.00
15017	145	145	100.00
15018	119	119	100.00
15019	186	186	100.00
15020	135	135	100.00
15021	127	127	100.00
15022	130	130	100.00
15023	131	131	100.00
15024	111	111	100.00
16001	174	174	100.00
16002	169	169	100.00
16003	135	135	100.00
16004	137	137	100.00
16005	114	114	100.00
16006	154	154	100.00
16007	134	134	100.00
16008	90	90	100.00
16009	164	164	100.00
16010	150	150	100.00
16011	138	138	100.00
16012	96	96	100.00
16013	130	130	100.00
16014	125	125	100.00
16015	160	160	100.00
16016	157	157	100.00
16017	123	123	100.00
16018	152	152	100.00
16019	130	130	100.00
16020	120	120	100.00
16021	117	117	100.00
16022	114	114	100.00
16023	124	124	100.00
16024	96	96	100.00
16025	172	172	100.00
16026	138	138	100.00
16027	114	114	100.00
16028	131	131	100.00
16029	129	129	100.00
16030	137	137	100.00
16031	164	164	100.00
16032	139	139	100.00
16033	178	178	100.00
16034	152	152	100.00
16035	125	125	100.00
16036	124	124	100.00
17001	187	187	100.00
17002	168	168	100.00
17003	178	178	100.00
17004	229	229	100.00
17005	176	176	100.00
17006	149	149	100.00
17007	121	121	100.00
17008	152	152	100.00
17009	188	188	100.00
17010	200	200	100.00
17011	141	141	100.00
17012	181	181	100.00
17013	146	146	100.00
17014	178	178	100.00
17015	182	182	100.00
17016	139	139	100.00
17017	158	158	100.00
17018	226	226	100.00
17019	104	104	100.00
17020	261	261	100.00
17021	280	280	100.00
17022	166	166	100.00
17023	128	128	100.00
17024	239	239	100.00
17025	135	135	100.00
17026	234	234	100.00
17027	181	181	100.00
17028	161	161	100.00
17029	202	202	100.00
17030	147	147	100.00
17031	120	120	100.00
17032	139	139	100.00
17033	118	118	100.00
17034	142	142	100.00
17035	173	173	100.00
17036	214	214	100.00
17037	154	154	100.00
17038	210	210	100.00
17039	196	196	100.00
17040	186	186	100.00
17041	244	244	100.00
18001	159	159	100.00
18002	172	172	100.00
18003	191	191	100.00
18004	243	243	100.00
18005	151	151	100.00
18006	180	180	100.00
18007	220	220	100.00
18008	226	226	100.00
18009	239	239	100.00
18010	310	310	100.00
18011	171	171	100.00
18012	199	199	100.00
18013	239	239	100.00
18014	209	209	100.00
18015	237	237	100.00
18016	219	219	100.00
18017	205	205	100.00
18018	223	223	100.00
18019	229	229	100.00
18020	195	195	100.00
18021	286	286	100.00
18022	293	293	100.00
18023	162	162	100.00
18024	183	183	100.00
18025	189	189	100.00
18026	298	298	100.00
18027	162	162	100.00
18028	204	204	100.00
18029	205	205	100.00
18030	197	197	100.00
18031	224	224	100.00
18032	231	231	100.00
18033	165	165	100.00
18034	309	309	100.00
18035	278	278	100.00
18036	205	205	100.00
18037	260	260	100.00
18038	225	225	100.00
18039	138	138	100.00
18040	261	261	100.00
18041	255	255	100.00
18042	168	168	100.00
18043	158	158	100.00
18044	211	211	100.00
18045	192	192	100.00
18046	210	210	100.00
18047	138	138	100.00
18048	169	169	100.00
18049	137	137	100.00
18050	142	142	100.00
19001	255	255	100.00
19002	360	360	100.00
19003	186	186	100.00
19004	311	311	100.00
19005	311	311	100.00
19006	263	263	100.00
19007	262	262	100.00
19008	264	264	100.00
19009	216	216	100.00
19010	309	309	100.00
19011	259	259	100.00
19012	204	204	100.00
19013	304	304	100.00
19014	293	293	100.00
19015	337	337	100.00
19016	266	266	100.00
19017	224	224	100.00
19018	241	241	100.00
19019	319	319	100.00
19020	224	224	100.00
19021	297	297	100.00
19022	286	286	100.00
19023	275	275	100.00
19024	206	206	100.00
19025	270	270	100.00
19026	253	253	100.00
19027	253	253	100.00
19028	300	300	100.00
19029	231	231	100.00
19030	218	218	100.00
19031	243	243	100.00
19032	243	243	100.00
19033	260	260	100.00
19034	262	262	100.00
19035	242	242	100.00
19036	291	291	100.00
19037	262	262	100.00
19038	247	247	100.00
19039	73	73	100.00
19040	279	279	100.00
19041	231	231	100.00
19042	208	208	100.00
19043	321	321	100.00
19044	284	284	100.00
19045	285	285	100.00
19046	282	282	100.00
19047	391	391	100.00
19048	255	255	100.00
19049	338	338	100.00
19050	199	199	100.00
19051	315	315	100.00
19052	266	266	100.00
19053	256	256	100.00
19054	204	204	100.00
19055	220	220	100.00
19056	317	317	100.00
19057	233	233	100.00
20001	143	143	100.00
20002	82	82	100.00
20003	148	148	100.00
20004	68	68	100.00
20005	188	188	100.00
20006	72	72	100.00
20007	149	149	100.00
20008	197	197	100.00
20009	214	214	100.00
20010	133	133	100.00
20011	213	213	100.00
20012	99	99	100.00
20013	197	197	100.00
20014	131	131	100.00
20015	129	129	100.00
20016	210	210	100.00
20017	112	112	100.00
20018	146	146	100.00
20019	166	166	100.00
20020	113	113	100.00
20021	133	133	100.00
20022	244	244	100.00
20023	189	189	100.00
20024	169	169	100.00
20025	148	148	100.00
20026	183	183	100.00
20027	113	113	100.00
20028	144	144	100.00
20029	228	228	100.00
20030	95	95	100.00
20031	175	175	100.00
20032	176	176	100.00
20033	112	112	100.00
20034	215	215	100.00
20035	106	106	100.00
20036	70	70	100.00
20037	58	58	100.00
20038	73	73	100.00
20039	25	25	100.00
21001	228	228	100.00
21002	150	150	100.00
21003	223	223	100.00
21004	200	200	100.00
21005	251	251	100.00
21006	204	204	100.00
21007	260	260	100.00
21008	232	232	100.00
21009	260	260	100.00
21010	216	216	100.00
21011	203	203	100.00
21012	204	204	100.00
21013	175	175	100.00
21014	272	272	100.00
21015	175	175	100.00
21016	204	204	100.00
21017	186	186	100.00
21018	234	234	100.00
21019	235	235	100.00
21020	196	196	100.00
21021	181	181	100.00
21022	213	213	100.00
21023	210	210	100.00
21024	223	223	100.00
21025	211	211	100.00
21026	187	187	100.00
21027	231	231	100.00
21028	252	252	100.00
21029	217	217	100.00
21030	153	153	100.00
21031	168	168	100.00
21032	208	208	100.00
21033	199	199	100.00
21034	209	209	100.00
21035	244	244	100.00
21036	225	225	100.00
21037	186	186	100.00
21038	178	178	100.00
21039	163	163	100.00
21040	183	183	100.00
21041	225	225	100.00
21042	245	245	100.00
21043	214	214	100.00
21044	211	211	100.00
21045	204	204	100.00
21046	222	222	100.00
21047	193	193	100.00
21048	207	207	100.00
21049	238	238	100.00
21050	188	188	100.00
21051	240	240	100.00
21052	225	225	100.00
21053	159	159	100.00
21054	169	169	100.00
22001	134	134	100.00
22002	230	230	100.00
22003	247	247	100.00
22004	161	161	100.00
22005	177	177	100.00
22006	215	215	100.00
22007	136	136	100.00
22008	242	242	100.00
22009	164	164	100.00
22010	260	260	100.00
22011	169	169	100.00
22012	192	192	100.00
22013	194	194	100.00
22014	156	156	100.00
22015	145	145	100.00
22016	159	159	100.00
22017	183	183	100.00
22018	151	151	100.00
22019	77	77	100.00
22020	164	164	100.00
22021	218	218	100.00
22022	160	160	100.00
22023	256	256	100.00
22024	227	227	100.00
22025	194	194	100.00
23001	287	287	100.00
23002	217	217	100.00
23003	259	259	100.00
23004	306	306	100.00
23005	178	178	100.00
23006	242	242	100.00
23007	153	153	100.00
23008	275	275	100.00
23009	166	166	100.00
23010	226	226	100.00
23011	205	205	100.00
23012	291	291	100.00
23013	147	147	100.00
23014	240	240	100.00
23015	150	150	100.00
23016	254	254	100.00
23017	106	106	100.00
23018	222	222	100.00
23019	154	154	100.00
23020	121	121	100.00
23021	281	281	100.00
23022	239	239	100.00
23023	242	242	100.00
23024	164	164	100.00
23025	180	180	100.00
23026	237	237	100.00
23027	280	280	100.00
23028	264	264	100.00
23029	210	210	100.00
23030	226	226	100.00
23031	150	150	100.00
23032	213	213	100.00
23033	176	176	100.00
23034	173	173	100.00
23035	193	193	100.00
23036	306	306	100.00
23037	262	262	100.00
23038	223	223	100.00
23039	177	177	100.00
24001	161	161	100.00
24002	152	152	100.00
24003	146	146	100.00
24004	133	133	100.00
24005	98	98	100.00
24006	156	156	100.00
24007	90	90	100.00
24008	99	99	100.00
24009	140	140	100.00
24010	73	73	100.00
24011	145	145	100.00
24012	91	91	100.00
24013	90	90	100.00
24014	131	131	100.00
24015	95	95	100.00
24016	159	159	100.00
24017	105	105	100.00
24018	177	177	100.00
24019	166	166	100.00
24020	139	139	100.00
24021	98	98	100.00
24022	201	201	100.00
24023	136	136	100.00
24024	171	171	100.00
24025	156	156	100.00
24026	228	228	100.00
24027	163	163	100.00
24028	132	132	100.00
24029	120	120	100.00
24030	79	79	100.00
24031	170	170	100.00
24032	97	97	100.00
24033	85	85	100.00
24034	136	136	100.00
24035	167	167	100.00
24036	206	206	100.00
24037	87	87	100.00
24038	137	137	100.00
24039	209	209	100.00
24040	136	136	100.00
24041	124	124	100.00
25001	191	191	100.00
25002	200	200	100.00
25003	160	160	100.00
25004	155	155	100.00
25005	211	211	100.00
25006	64	64	100.00
25007	219	219	100.00
25008	226	226	100.00
25009	231	231	100.00
25010	148	148	100.00
25011	236	236	100.00
25012	207	207	100.00
25013	227	227	100.00
25014	104	104	100.00
25015	222	222	100.00
25016	142	142	100.00
25017	246	246	100.00
25018	106	106	100.00
25019	216	216	100.00
25020	141	141	100.00
25021	208	208	100.00
25022	216	216	100.00
25023	265	265	100.00
25024	220	220	100.00
25025	202	202	100.00
25026	233	233	100.00
25027	141	141	100.00
25028	235	235	100.00
25029	197	197	100.00
25030	197	197	100.00
25031	151	151	100.00
25032	209	209	100.00
26001	128	128	100.00
26002	136	136	100.00
26003	137	137	100.00
26004	124	124	100.00
26005	118	118	100.00
26006	141	141	100.00
26007	95	95	100.00
26008	76	76	100.00
26009	139	139	100.00
26010	127	127	100.00
26011	145	145	100.00
26012	139	139	100.00
26013	100	100	100.00
26014	93	93	100.00
26015	74	74	100.00
26016	80	80	100.00
26017	122	122	100.00
26018	134	134	100.00
26019	83	83	100.00
26020	123	123	100.00
26021	177	177	100.00
26022	93	93	100.00
26023	86	86	100.00
26024	133	133	100.00
26025	127	127	100.00
26026	63	63	100.00
26027	150	150	100.00
26028	178	178	100.00
26029	74	74	100.00
26030	107	107	100.00
26031	84	84	100.00
26032	129	129	100.00
26033	126	126	100.00
26034	148	148	100.00
26035	150	150	100.00
26036	117	117	100.00
26037	120	120	100.00
26038	76	76	100.00
26039	138	138	100.00
26040	60	60	100.00
26041	188	188	100.00
26042	105	105	100.00
26043	86	86	100.00
26044	91	91	100.00
26045	51	51	100.00
26046	80	80	100.00
26047	102	102	100.00
26048	124	124	100.00
26049	79	79	100.00
27001	123	123	100.00
27002	195	195	100.00
27003	92	92	100.00
27004	90	90	100.00
27005	129	129	100.00
27006	131	131	100.00
27007	165	165	100.00
27008	140	140	100.00
27009	79	79	100.00
27010	201	201	100.00
27011	109	109	100.00
27012	97	97	100.00
27013	274	274	100.00
27014	90	90	100.00
27015	112	112	100.00
27016	115	115	100.00
27017	174	174	100.00
27018	136	136	100.00
27019	111	111	100.00
27020	114	114	100.00
27021	130	130	100.00
27022	116	116	100.00
27023	149	149	100.00
27024	126	126	100.00
27025	142	142	100.00
27026	168	168	100.00
27027	160	160	100.00
27028	100	100	100.00
27029	122	122	100.00
27030	104	104	100.00
27031	128	128	100.00
27032	127	127	100.00
27033	128	128	100.00
27034	166	166	100.00
27035	139	139	100.00
27036	119	119	100.00
27037	208	208	100.00
27038	278	278	100.00
27039	142	142	100.00
27040	182	182	100.00
27041	169	169	100.00
27042	119	119	100.00
27043	122	122	100.00
27044	136	136	100.00
27045	160	160	100.00
27046	104	104	100.00
27047	148	148	100.00
27048	179	179	100.00
27049	111	111	100.00
27050	144	144	100.00
28001	100	100	100.00
28002	122	122	100.00
28003	105	105	100.00
28004	106	106	100.00
28005	114	114	100.00
28006	106	106	100.00
28007	136	136	100.00
28008	75	75	100.00
28009	150	150	100.00
28010	157	157	100.00
28011	209	209	100.00
28012	145	145	100.00
28013	149	149	100.00
28014	157	157	100.00
28015	63	63	100.00
28016	90	90	100.00
28017	124	124	100.00
28018	135	135	100.00
28019	136	136	100.00
28020	138	138	100.00
28021	132	132	100.00
28022	126	126	100.00
28023	172	172	100.00
28024	127	127	100.00
28025	188	188	100.00
28026	146	146	100.00
28027	144	144	100.00
28028	170	170	100.00
28029	60	60	100.00
28030	30	30	100.00
28031	210	210	100.00
28032	136	136	100.00
28033	158	158	100.00
28034	223	223	100.00
28035	151	151	100.00
28036	101	101	100.00
28037	174	174	100.00
28038	87	87	100.00
28039	100	100	100.00
28040	172	172	100.00
28041	126	126	100.00
28042	135	135	100.00
28043	161	161	100.00
28044	103	103	100.00
28045	107	107	100.00
28046	235	235	100.00
29001	285	285	100.00
29002	311	311	100.00
29003	215	215	100.00
29004	219	219	100.00
29005	189	189	100.00
29006	154	154	100.00
29007	204	204	100.00
29008	118	118	100.00
29009	284	284	100.00
29010	303	303	100.00
29011	106	106	100.00
29012	235	235	100.00
29013	180	180	100.00
29014	223	223	100.00
29015	241	241	100.00
29016	248	248	100.00
29017	182	182	100.00
29018	191	191	100.00
29019	212	212	100.00
29020	258	258	100.00
29021	196	196	100.00
29022	155	155	100.00
29023	212	212	100.00
29024	169	169	100.00
29025	240	240	100.00
29026	216	216	100.00
29027	193	193	100.00
29028	252	252	100.00
29029	172	172	100.00
29030	289	289	100.00
29031	178	178	100.00
29032	169	169	100.00
29033	179	179	100.00
29034	139	139	100.00
29035	147	147	100.00
29036	194	194	100.00
29037	180	180	100.00
29038	150	150	100.00
29039	159	159	100.00
29040	246	246	100.00
29041	198	198	100.00
29042	205	205	100.00
29043	258	258	100.00
29044	258	258	100.00
30001	157	157	100.00
30002	183	183	100.00
30003	127	127	100.00
30004	148	148	100.00
30005	107	107	100.00
30006	139	139	100.00
30007	148	148	100.00
30008	177	177	100.00
30009	132	132	100.00
30010	158	158	100.00
30011	130	130	100.00
30012	138	138	100.00
30013	133	133	100.00
30014	87	87	100.00
30015	175	175	100.00
30016	73	73	100.00
30017	178	178	100.00
30018	144	144	100.00
30019	134	134	100.00
30020	182	182	100.00
30021	150	150	100.00
30022	165	165	100.00
30023	121	121	100.00
30024	135	135	100.00
30025	167	167	100.00
30026	93	93	100.00
30027	95	95	100.00
30028	175	175	100.00
30029	79	79	100.00
30030	55	55	100.00
30031	116	116	100.00
30032	113	113	100.00
31001	117	117	100.00
31002	113	113	100.00
31003	126	126	100.00
31004	141	141	100.00
31005	146	146	100.00
31006	115	115	100.00
31007	109	109	100.00
31008	87	87	100.00
31009	124	124	100.00
31010	100	100	100.00
31011	87	87	100.00
31012	114	114	100.00
31013	118	118	100.00
31014	110	110	100.00
31015	102	102	100.00
31016	155	155	100.00
31017	150	150	100.00
31018	133	133	100.00
31019	110	110	100.00
