Precinct	Votes	votes|Susana A. Mendoza	pct|Susana A. Mendoza
01001	157	157	100.00
01002	157	157	100.00
01003	176	176	100.00
01004	176	176	100.00
01005	132	132	100.00
01006	166	166	100.00
01007	130	130	100.00
01008	168	168	100.00
01009	146	146	100.00
01010	153	153	100.00
01011	143	143	100.00
01012	163	163	100.00
01013	80	80	100.00
01014	175	175	100.00
01015	154	154	100.00
01016	174	174	100.00
01017	159	159	100.00
01018	187	187	100.00
01019	237	237	100.00
01020	143	143	100.00
01021	133	133	100.00
01022	97	97	100.00
01023	235	235	100.00
01024	133	133	100.00
01025	131	131	100.00
01026	138	138	100.00
01027	149	149	100.00
01028	101	101	100.00
01029	171	171	100.00
01030	199	199	100.00
01031	184	184	100.00
01032	153	153	100.00
01033	177	177	100.00
01034	137	137	100.00
01035	176	176	100.00
01036	154	154	100.00
01037	157	157	100.00
01038	157	157	100.00
01039	135	135	100.00
01040	173	173	100.00
01041	133	133	100.00
01042	42	42	100.00
01043	138	138	100.00
01044	119	119	100.00
02001	146	146	100.00
02002	173	173	100.00
02003	148	148	100.00
02004	155	155	100.00
02005	156	156	100.00
02006	155	155	100.00
02007	149	149	100.00
02008	153	153	100.00
02009	132	132	100.00
02010	177	177	100.00
02011	208	208	100.00
02012	195	195	100.00
02013	239	239	100.00
02014	223	223	100.00
02015	163	163	100.00
02016	126	126	100.00
02017	228	228	100.00
02018	190	190	100.00
02019	179	179	100.00
02020	116	116	100.00
02021	180	180	100.00
02022	208	208	100.00
02023	183	183	100.00
02024	167	167	100.00
02025	158	158	100.00
02026	140	140	100.00
02027	160	160	100.00
02028	189	189	100.00
02029	166	166	100.00
02030	170	170	100.00
02031	262	262	100.00
02032	121	121	100.00
02033	283	283	100.00
02034	198	198	100.00
02035	142	142	100.00
02036	163	163	100.00
02037	221	221	100.00
02038	190	190	100.00
02039	156	156	100.00
02040	140	140	100.00
02041	93	93	100.00
02042	157	157	100.00
02043	198	198	100.00
02044	121	121	100.00
02045	205	205	100.00
02046	86	86	100.00
03001	230	230	100.00
03002	346	346	100.00
03003	202	202	100.00
03004	240	240	100.00
03005	168	168	100.00
03006	216	216	100.00
03007	228	228	100.00
03008	161	161	100.00
03009	255	255	100.00
03010	128	128	100.00
03011	215	215	100.00
03012	271	271	100.00
03013	248	248	100.00
03014	172	172	100.00
03015	193	193	100.00
03016	201	201	100.00
03017	216	216	100.00
03018	281	281	100.00
03019	175	175	100.00
03020	209	209	100.00
03021	250	250	100.00
03022	188	188	100.00
03023	207	207	100.00
03024	201	201	100.00
03025	241	241	100.00
03026	301	301	100.00
03027	200	200	100.00
03028	208	208	100.00
03029	227	227	100.00
03030	244	244	100.00
03031	236	236	100.00
03032	204	204	100.00
03033	154	154	100.00
03034	243	243	100.00
03035	95	95	100.00
03036	110	110	100.00
03037	178	178	100.00
03038	265	265	100.00
03039	176	176	100.00
03040	252	252	100.00
03041	240	240	100.00
04001	281	281	100.00
04002	224	224	100.00
04003	209	209	100.00
04004	284	284	100.00
04005	263	263	100.00
04006	350	350	100.00
04007	312	312	100.00
04008	302	302	100.00
04009	395	395	100.00
04010	284	284	100.00
04011	223	223	100.00
04012	236	236	100.00
04013	114	114	100.00
04014	258	258	100.00
04015	295	295	100.00
04016	198	198	100.00
04017	207	207	100.00
04018	251	251	100.00
04019	212	212	100.00
04020	227	227	100.00
04021	188	188	100.00
04022	273	273	100.00
