Precinct	Votes	votes|Proco ''Joe'' Moreno	pct|Proco ''Joe'' Moreno	votes|Anne Shaw	pct|Anne Shaw	votes|Andrew Hamilton	pct|Andrew Hamilton	votes|Ronda Locke	pct|Ronda Locke
01001	187	104	55.61	46	24.60	4	2.14	33	17.65
01002	180	83	46.11	52	28.89	15	8.33	30	16.67
01003	208	80	38.46	56	26.92	3	1.44	69	33.17
01004	225	71	31.56	44	19.56	6	2.67	104	46.22
01005	166	85	51.20	13	7.83	2	1.20	66	39.76
01006	207	103	49.76	60	28.99	13	6.28	31	14.98
01007	153	77	50.33	45	29.41	3	1.96	28	18.30
01008	213	149	69.95	32	15.02	7	3.29	25	11.74
01009	196	136	69.39	39	19.90	5	2.55	16	8.16
01010	185	89	48.11	37	20.00	7	3.78	52	28.11
01011	177	66	37.29	47	26.55	5	2.82	59	33.33
01012	218	106	48.62	45	20.64	20	9.17	47	21.56
01013	99	49	49.49	31	31.31	0	0	19	19.19
01014	217	131	60.37	32	14.75	15	6.91	39	17.97
01015	189	86	45.50	71	37.57	12	6.35	20	10.58
01016	193	107	55.44	54	27.98	5	2.59	27	13.99
01017	198	102	51.52	64	32.32	7	3.54	25	12.63
01018	219	99	45.21	60	27.40	13	5.94	47	21.46
01019	292	150	51.37	85	29.11	10	3.42	47	16.10
01020	175	83	47.43	50	28.57	8	4.57	34	19.43
01021	171	77	45.03	33	19.30	8	4.68	53	30.99
01022	128	79	61.72	37	28.91	4	3.13	8	6.25
01023	294	148	50.34	73	24.83	6	2.04	67	22.79
01024	160	110	68.75	32	20.00	2	1.25	16	10.00
01025	148	84	56.76	43	29.05	6	4.05	15	10.14
01026	150	97	64.67	32	21.33	7	4.67	14	9.33
01027	166	91	54.82	41	24.70	8	4.82	26	15.66
01028	125	105	84.00	11	8.80	3	2.40	6	4.80
01029	218	115	52.75	56	25.69	6	2.75	41	18.81
01030	246	129	52.44	75	30.49	12	4.88	30	12.20
01031	208	148	71.15	39	18.75	4	1.92	17	8.17
01032	194	94	48.45	36	18.56	15	7.73	49	25.26
01033	231	105	45.45	50	21.65	6	2.60	70	30.30
01034	173	85	49.13	56	32.37	3	1.73	29	16.76
01035	215	87	40.47	60	27.91	9	4.19	59	27.44
01036	191	52	27.23	48	25.13	5	2.62	86	45.03
01037	198	77	38.89	69	34.85	3	1.52	49	24.75
01038	214	129	60.28	35	16.36	8	3.74	42	19.63
01039	174	70	40.23	37	21.26	3	1.72	64	36.78
01040	218	119	54.59	58	26.61	11	5.05	30	13.76
01041	151	55	36.42	51	33.77	11	7.28	34	22.52
01042	56	30	53.57	15	26.79	2	3.57	9	16.07
01043	166	87	52.41	51	30.72	4	2.41	24	14.46
01044	140	76	54.29	36	25.71	4	2.86	24	17.14
