Precinct	Votes	votes|James Cappleman	pct|James Cappleman	votes|Amy Crawford	pct|Amy Crawford
46001	307	163	53.09	144	46.91
46002	322	169	52.48	153	47.52
46003	440	208	47.27	232	52.73
46004	364	243	66.76	121	33.24
46005	287	139	48.43	148	51.57
46006	313	177	56.55	136	43.45
46007	477	285	59.75	192	40.25
46008	277	133	48.01	144	51.99
46009	320	198	61.88	122	38.13
46010	316	141	44.62	175	55.38
46011	319	153	47.96	166	52.04
46012	314	149	47.45	165	52.55
46013	310	188	60.65	122	39.35
46014	409	225	55.01	184	44.99
46015	337	205	60.83	132	39.17
46016	350	214	61.14	136	38.86
46017	418	235	56.22	183	43.78
46018	288	139	48.26	149	51.74
46019	253	134	52.96	119	47.04
46020	341	137	40.18	204	59.82
46021	222	126	56.76	96	43.24
46022	285	61	21.40	224	78.60
46023	278	150	53.96	128	46.04
46024	363	192	52.89	171	47.11
46025	339	162	47.79	177	52.21
46026	274	172	62.77	102	37.23
46027	321	182	56.70	139	43.30
46028	406	252	62.07	154	37.93
46029	296	190	64.19	106	35.81
46030	324	155	47.84	169	52.16
46031	279	124	44.44	155	55.56
46032	396	213	53.79	183	46.21
46033	349	192	55.01	157	44.99
46034	341	205	60.12	136	39.88
46035	404	221	54.70	183	45.30
46036	347	174	50.14	173	49.86
46037	243	143	58.85	100	41.15
46038	283	154	54.42	129	45.58
46039	298	153	51.34	145	48.66
46040	290	179	61.72	111	38.28
