Precinct	Votes	votes|Rahm Emanuel	pct|Rahm Emanuel	votes|Jesus ''Chuy'' Garcia	pct|Jesus ''Chuy'' Garcia
01001	259	93	35.91	166	64.09
01002	254	75	29.53	179	70.47
01003	269	149	55.39	120	44.61
01004	277	145	52.35	132	47.65
01005	217	144	66.36	73	33.64
01006	290	144	49.66	146	50.34
01007	186	79	42.47	107	57.53
01008	269	158	58.74	111	41.26
01009	264	106	40.15	158	59.85
01010	226	138	61.06	88	38.94
01011	253	149	58.89	104	41.11
01012	300	139	46.33	161	53.67
01013	121	40	33.06	81	66.94
01014	270	147	54.44	123	45.56
01015	256	85	33.20	171	66.80
01016	228	64	28.07	164	71.93
01017	251	83	33.07	168	66.93
01018	289	104	35.99	185	64.01
01019	388	126	32.47	262	67.53
01020	238	72	30.25	166	69.75
01021	232	154	66.38	78	33.62
01022	167	68	40.72	99	59.28
01023	395	155	39.24	240	60.76
01024	200	55	27.50	145	72.50
01025	201	77	38.31	124	61.69
01026	198	39	19.70	159	80.30
01027	247	118	47.77	129	52.23
01028	133	51	38.35	82	61.65
01029	257	139	54.09	118	45.91
01030	310	83	26.77	227	73.23
01031	279	123	44.09	156	55.91
01032	264	138	52.27	126	47.73
01033	282	140	49.65	142	50.35
01034	235	86	36.60	149	63.40
01035	299	145	48.49	154	51.51
01036	232	150	64.66	82	35.34
01037	241	132	54.77	109	45.23
01038	271	109	40.22	162	59.78
01039	236	107	45.34	129	54.66
01040	281	165	58.72	116	41.28
01041	192	72	37.50	120	62.50
01042	91	29	31.87	62	68.13
01043	183	86	46.99	97	53.01
01044	196	87	44.39	109	55.61
02001	251	137	54.58	114	45.42
02002	344	299	86.92	45	13.08
02003	276	176	63.77	100	36.23
02004	268	141	52.61	127	47.39
02005	313	168	53.67	145	46.33
02006	269	132	49.07	137	50.93
02007	282	170	60.28	112	39.72
02008	287	148	51.57	139	48.43
02009	271	229	84.50	42	15.50
02010	369	334	90.51	35	9.49
02011	377	344	91.25	33	8.75
02012	336	258	76.79	78	23.21
02013	398	336	84.42	62	15.58
02014	343	172	50.15	171	49.85
02015	276	174	63.04	102	36.96
02016	219	148	67.58	71	32.42
02017	351	218	62.11	133	37.89
02018	289	246	85.12	43	14.88
02019	305	274	89.84	31	10.16
02020	271	234	86.35	37	13.65
02021	315	186	59.05	129	40.95
02022	379	319	84.17	60	15.83
02023	337	310	91.99	27	8.01
02024	296	252	85.14	44	14.86
02025	268	186	69.40	82	30.60
02026	246	190	77.24	56	22.76
02027	299	256	85.62	43	14.38
02028	344	273	79.36	71	20.64
02029	292	248	84.93	44	15.07
02030	293	238	81.23	55	18.77
02031	484	425	87.81	59	12.19
02032	235	193	82.13	42	17.87
02033	532	446	83.83	86	16.17
02034	343	309	90.09	34	9.91
02035	281	237	84.34	44	15.66
02036	278	228	82.01	50	17.99
02037	363	282	77.69	81	22.31
02038	376	322	85.64	54	14.36
02039	251	207	82.47	44	17.53
02040	252	211	83.73	41	16.27
02041	210	181	86.19	29	13.81
02042	279	210	75.27	69	24.73
02043	355	301	84.79	54	15.21
02044	232	190	81.90	42	18.10
02045	342	238	69.59	104	30.41
02046	187	155	82.89	32	17.11
03001	345	198	57.39	147	42.61
03002	448	307	68.53	141	31.47
03003	343	241	70.26	102	29.74
03004	351	177	50.43	174	49.57
03005	223	147	65.92	76	34.08
03006	346	261	75.43	85	24.57
03007	279	155	55.56	124	44.44
03008	229	134	58.52	95	41.48
03009	304	175	57.57	129	42.43
03010	158	94	59.49	64	40.51
03011	304	171	56.25	133	43.75
03012	365	211	57.81	154	42.19
03013	369	277	75.07	92	24.93
03014	260	183	70.38	77	29.62
03015	283	156	55.12	127	44.88
03016	291	179	61.51	112	38.49
03017	309	204	66.02	105	33.98
03018	432	264	61.11	168	38.89
03019	337	253	75.07	84	24.93
03020	318	182	57.23	136	42.77
03021	402	293	72.89	109	27.11
03022	296	204	68.92	92	31.08
