Precinct	Votes	votes|Roberto Maldonado	pct|Roberto Maldonado	votes|Adam Corona	pct|Adam Corona	votes|Juanita Irizarry	pct|Juanita Irizarry
26001	158	71	44.94	23	14.56	64	40.51
26002	166	80	48.19	37	22.29	49	29.52
26003	158	68	43.04	23	14.56	67	42.41
26004	139	102	73.38	11	7.91	26	18.71
26005	145	68	46.90	23	15.86	54	37.24
26006	162	102	62.96	24	14.81	36	22.22
26007	118	33	27.97	11	9.32	74	62.71
26008	81	54	66.67	8	9.88	19	23.46
26009	162	96	59.26	23	14.20	43	26.54
26010	147	61	41.50	26	17.69	60	40.82
26011	173	103	59.54	13	7.51	57	32.95
26012	166	91	54.82	19	11.45	56	33.73
26013	105	61	58.10	17	16.19	27	25.71
26014	109	48	44.04	14	12.84	47	43.12
26015	81	47	58.02	8	9.88	26	32.10
26016	93	68	73.12	8	8.60	17	18.28
26017	155	73	47.10	21	13.55	61	39.35
26018	150	100	66.67	9	6.00	41	27.33
26019	96	67	69.79	6	6.25	23	23.96
26020	162	91	56.17	15	9.26	56	34.57
26021	209	96	45.93	32	15.31	81	38.76
26022	105	69	65.71	15	14.29	21	20.00
26023	106	74	69.81	6	5.66	26	24.53
26024	157	100	63.69	3	1.91	54	34.39
26025	159	80	50.31	29	18.24	50	31.45
26026	90	30	33.33	16	17.78	44	48.89
26027	182	83	45.60	50	27.47	49	26.92
26028	216	82	37.96	51	23.61	83	38.43
26029	86	44	51.16	1	1.16	41	47.67
26030	130	65	50.00	18	13.85	47	36.15
26031	97	75	77.32	10	10.31	12	12.37
26032	166	65	39.16	33	19.88	68	40.96
26033	161	89	55.28	12	7.45	60	37.27
26034	190	96	50.53	22	11.58	72	37.89
26035	184	104	56.52	20	10.87	60	32.61
26036	143	52	36.36	27	18.88	64	44.76
26037	148	76	51.35	8	5.41	64	43.24
26038	100	60	60.00	6	6.00	34	34.00
26039	166	63	37.95	28	16.87	75	45.18
26040	76	40	52.63	12	15.79	24	31.58
26041	204	92	45.10	54	26.47	58	28.43
26042	135	58	42.96	21	15.56	56	41.48
26043	91	53	58.24	12	13.19	26	28.57
26044	96	67	69.79	12	12.50	17	17.71
26045	58	36	62.07	10	17.24	12	20.69
26046	95	40	42.11	22	23.16	33	34.74
26047	116	69	59.48	14	12.07	33	28.45
26048	147	53	36.05	31	21.09	63	42.86
26049	94	71	75.53	5	5.32	18	19.15
