Precinct	Votes	votes|Raymond A. Lopez	pct|Raymond A. Lopez	votes|Rafael Yanez	pct|Rafael Yanez
15001	334	136	40.72	198	59.28
15002	166	132	79.52	34	20.48
15003	177	146	82.49	31	17.51
15004	337	179	53.12	158	46.88
15005	268	81	30.22	187	69.78
15006	304	174	57.24	130	42.76
15007	220	183	83.18	37	16.82
15008	332	238	71.69	94	28.31
15009	382	240	62.83	142	37.17
15010	361	165	45.71	196	54.29
15011	333	169	50.75	164	49.25
15012	386	197	51.04	189	48.96
15013	250	69	27.60	181	72.40
15014	224	58	25.89	166	74.11
15015	223	73	32.74	150	67.26
15016	304	198	65.13	106	34.87
15017	223	143	64.13	80	35.87
15018	191	165	86.39	26	13.61
15019	255	120	47.06	135	52.94
15020	173	134	77.46	39	22.54
15021	182	149	81.87	33	18.13
15022	195	156	80.00	39	20.00
15023	204	155	75.98	49	24.02
15024	178	136	76.40	42	23.60
