Precinct	Votes	votes|Joann Thompson	pct|Joann Thompson	votes|Cynthia Lomax	pct|Cynthia Lomax	votes|Toni L. Foulkes	pct|Toni L. Foulkes	votes|Jose A. Garcia	pct|Jose A. Garcia	votes|Stephanie Coleman	pct|Stephanie Coleman
16001	180	2	1.11	6	3.33	60	33.33	106	58.89	6	3.33
16002	189	3	1.59	3	1.59	75	39.68	31	16.40	77	40.74
16003	164	8	4.88	12	7.32	97	59.15	10	6.10	37	22.56
16004	172	1	0.58	14	8.14	110	63.95	14	8.14	33	19.19
16005	145	2	1.38	10	6.90	58	40.00	11	7.59	64	44.14
16006	182	1	0.55	11	6.04	129	70.88	11	6.04	30	16.48
16007	162	9	5.56	5	3.09	43	26.54	27	16.67	78	48.15
16008	113	0	0	2	1.77	47	41.59	10	8.85	54	47.79
16009	200	1	0.50	21	10.50	69	34.50	7	3.50	102	51.00
16010	181	5	2.76	9	4.97	82	45.30	13	7.18	72	39.78
16011	155	3	1.94	7	4.52	59	38.06	54	34.84	32	20.65
16012	125	3	2.40	5	4.00	44	35.20	15	12.00	58	46.40
16013	139	2	1.44	5	3.60	61	43.88	56	40.29	15	10.79
16014	149	1	0.67	5	3.36	42	28.19	5	3.36	96	64.43
16015	187	10	5.35	8	4.28	67	35.83	12	6.42	90	48.13
16016	190	6	3.16	17	8.95	114	60.00	8	4.21	45	23.68
16017	142	1	0.70	6	4.23	57	40.14	54	38.03	24	16.90
16018	192	2	1.04	9	4.69	87	45.31	51	26.56	43	22.40
16019	162	2	1.23	6	3.70	74	45.68	24	14.81	56	34.57
16020	153	7	4.58	9	5.88	44	28.76	1	0.65	92	60.13
16021	146	4	2.74	7	4.79	93	63.70	6	4.11	36	24.66
16022	138	2	1.45	4	2.90	87	63.04	12	8.70	33	23.91
16023	148	0	0	2	1.35	35	23.65	77	52.03	34	22.97
16024	126	1	0.79	10	7.94	72	57.14	9	7.14	34	26.98
16025	214	7	3.27	10	4.67	77	35.98	7	3.27	113	52.80
16026	179	7	3.91	4	2.23	42	23.46	11	6.15	115	64.25
16027	150	3	2.00	6	4.00	65	43.33	3	2.00	73	48.67
16028	204	2	0.98	8	3.92	114	55.88	8	3.92	72	35.29
16029	163	1	0.61	40	24.54	82	50.31	3	1.84	37	22.70
16030	167	3	1.80	21	12.57	60	35.93	14	8.38	69	41.32
16031	222	1	0.45	8	3.60	91	40.99	3	1.35	119	53.60
16032	147	3	2.04	1	0.68	27	18.37	94	63.95	22	14.97
16033	209	3	1.44	33	15.79	111	53.11	5	2.39	57	27.27
16034	183	2	1.09	17	9.29	85	46.45	5	2.73	74	40.44
16035	142	0	0	9	6.34	58	40.85	46	32.39	29	20.42
16036	149	7	4.70	7	4.70	53	35.57	7	4.70	75	50.34
