Precinct	Votes	votes|Marvin Mcneil	pct|Marvin Mcneil	votes|Jeffrey Baker	pct|Jeffrey Baker	votes|Howard B. Brookins, Jr.	pct|Howard B. Brookins, Jr.	votes|Joseph C. Ziegler, Jr.	pct|Joseph C. Ziegler, Jr.	votes|Doris Lewis Brooks	pct|Doris Lewis Brooks	votes|Patricia A. Foster	pct|Patricia A. Foster	votes|Ken Lewis	pct|Ken Lewis
21001	285	25	8.77	9	3.16	134	47.02	19	6.67	77	27.02	16	5.61	5	1.75
21002	180	57	31.67	24	13.33	63	35.00	14	7.78	9	5.00	11	6.11	2	1.11
21003	262	34	12.98	4	1.53	118	45.04	45	17.18	19	7.25	28	10.69	14	5.34
21004	234	78	33.33	17	7.26	81	34.62	11	4.70	17	7.26	29	12.39	1	0.43
21005	294	63	21.43	16	5.44	125	42.52	27	9.18	38	12.93	19	6.46	6	2.04
21006	223	53	23.77	11	4.93	74	33.18	18	8.07	23	10.31	23	10.31	21	9.42
21007	290	22	7.59	3	1.03	107	36.90	97	33.45	45	15.52	15	5.17	1	0.34
21008	258	29	11.24	3	1.16	98	37.98	15	5.81	23	8.91	16	6.20	74	28.68
21009	310	21	6.77	6	1.94	93	30.00	138	44.52	27	8.71	14	4.52	11	3.55
21010	247	21	8.50	3	1.21	86	34.82	16	6.48	23	9.31	12	4.86	86	34.82
21011	248	39	15.73	71	28.63	86	34.68	23	9.27	15	6.05	12	4.84	2	0.81
21012	236	34	14.41	48	20.34	97	41.10	21	8.90	20	8.47	14	5.93	2	0.85
21013	197	8	4.06	10	5.08	83	42.13	39	19.80	26	13.20	28	14.21	3	1.52
21014	318	37	11.64	9	2.83	152	47.80	34	10.69	29	9.12	18	5.66	39	12.26
21015	201	28	13.93	2	1.00	81	40.30	28	13.93	28	13.93	33	16.42	1	0.50
21016	233	19	8.15	11	4.72	96	41.20	29	12.45	20	8.58	33	14.16	25	10.73
21017	211	42	19.91	11	5.21	86	40.76	16	7.58	23	10.90	24	11.37	9	4.27
21018	271	27	9.96	8	2.95	127	46.86	29	10.70	21	7.75	25	9.23	34	12.55
21019	269	29	10.78	3	1.12	137	50.93	15	5.58	21	7.81	30	11.15	34	12.64
21020	232	22	9.48	8	3.45	83	35.78	26	11.21	57	24.57	29	12.50	7	3.02
21021	208	29	13.94	6	2.88	82	39.42	15	7.21	51	24.52	17	8.17	8	3.85
21022	251	18	7.17	15	5.98	88	35.06	26	10.36	37	14.74	14	5.58	53	21.12
21023	245	41	16.73	15	6.12	103	42.04	33	13.47	26	10.61	21	8.57	6	2.45
21024	254	24	9.45	19	7.48	137	53.94	23	9.06	30	11.81	17	6.69	4	1.57
21025	249	30	12.05	13	5.22	128	51.41	28	11.24	33	13.25	15	6.02	2	0.80
21026	219	39	17.81	3	1.37	80	36.53	31	14.16	17	7.76	46	21.00	3	1.37
21027	261	69	26.44	20	7.66	105	40.23	26	9.96	19	7.28	20	7.66	2	0.77
21028	298	53	17.79	12	4.03	114	38.26	29	9.73	30	10.07	51	17.11	9	3.02
21029	254	35	13.78	10	3.94	108	42.52	45	17.72	25	9.84	22	8.66	9	3.54
21030	182	8	4.40	12	6.59	66	36.26	18	9.89	19	10.44	57	31.32	2	1.10
21031	194	32	16.49	21	10.82	82	42.27	17	8.76	31	15.98	8	4.12	3	1.55
21032	237	27	11.39	9	3.80	111	46.84	21	8.86	15	6.33	21	8.86	33	13.92
21033	234	26	11.11	10	4.27	106	45.30	28	11.97	35	14.96	19	8.12	10	4.27
21034	231	50	21.65	24	10.39	82	35.50	22	9.52	18	7.79	31	13.42	4	1.73
21035	273	73	26.74	16	5.86	96	35.16	20	7.33	39	14.29	21	7.69	8	2.93
21036	275	31	11.27	5	1.82	98	35.64	14	5.09	28	10.18	19	6.91	80	29.09
21037	223	22	9.87	9	4.04	102	45.74	27	12.11	41	18.39	15	6.73	7	3.14
21038	189	29	15.34	8	4.23	84	44.44	13	6.88	26	13.76	23	12.17	6	3.17
21039	186	41	22.04	11	5.91	81	43.55	5	2.69	24	12.90	17	9.14	7	3.76
21040	209	39	18.66	18	8.61	102	48.80	14	6.70	23	11.00	11	5.26	2	0.96
21041	261	25	9.58	4	1.53	140	53.64	31	11.88	42	16.09	15	5.75	4	1.53
21042	287	24	8.36	7	2.44	103	35.89	18	6.27	38	13.24	17	5.92	80	27.87
21043	247	52	21.05	13	5.26	94	38.06	9	3.64	33	13.36	41	16.60	5	2.02
21044	255	46	18.04	41	16.08	106	41.57	13	5.10	28	10.98	14	5.49	7	2.75
21045	245	36	14.69	7	2.86	104	42.45	23	9.39	38	15.51	26	10.61	11	4.49
21046	265	39	14.72	16	6.04	118	44.53	29	10.94	29	10.94	25	9.43	9	3.40
21047	213	11	5.16	10	4.69	71	33.33	13	6.10	18	8.45	90	42.25	0	0
21048	251	9	3.59	11	4.38	100	39.84	24	9.56	21	8.37	59	23.51	27	10.76
21049	279	38	13.62	9	3.23	114	40.86	25	8.96	27	9.68	19	6.81	47	16.85
21050	216	26	12.04	8	3.70	89	41.20	9	4.17	37	17.13	25	11.57	22	10.19
21051	281	50	17.79	5	1.78	136	48.40	17	6.05	41	14.59	30	10.68	2	0.71
21052	261	17	6.51	10	3.83	120	45.98	23	8.81	24	9.20	65	24.90	2	0.77
21053	189	43	22.75	12	6.35	100	52.91	15	7.94	0	0	15	7.94	4	2.12
21054	198	18	9.09	9	4.55	97	48.99	12	6.06	25	12.63	30	15.15	7	3.54
