Precinct	Votes	votes|Debra L. Silverstein	pct|Debra L. Silverstein	votes|Shajan M. Kuriakose	pct|Shajan M. Kuriakose	votes|Zehra Quadri	pct|Zehra Quadri
50001	253	173	68.38	47	18.58	33	13.04
50002	151	99	65.56	38	25.17	14	9.27
50003	246	171	69.51	43	17.48	32	13.01
50004	250	159	63.60	49	19.60	42	16.80
50005	209	156	74.64	35	16.75	18	8.61
50006	258	189	73.26	30	11.63	39	15.12
50007	319	186	58.31	83	26.02	50	15.67
50008	183	121	66.12	31	16.94	31	16.94
50009	199	126	63.32	33	16.58	40	20.10
50010	208	121	58.17	36	17.31	51	24.52
50011	155	126	81.29	24	15.48	5	3.23
50012	128	86	67.19	26	20.31	16	12.50
50013	186	96	51.61	22	11.83	68	36.56
50014	89	75	84.27	11	12.36	3	3.37
50015	289	168	58.13	68	23.53	53	18.34
50016	100	75	75.00	15	15.00	10	10.00
50017	176	122	69.32	21	11.93	33	18.75
50018	75	74	98.67	0	0	1	1.33
50019	157	65	41.40	34	21.66	58	36.94
50020	249	140	56.22	58	23.29	51	20.48
50021	168	108	64.29	29	17.26	31	18.45
50022	170	127	74.71	16	9.41	27	15.88
50023	152	88	57.89	21	13.82	43	28.29
50024	214	159	74.30	44	20.56	11	5.14
50025	226	141	62.39	69	30.53	16	7.08
50026	194	125	64.43	23	11.86	46	23.71
50027	88	53	60.23	3	3.41	32	36.36
50028	227	157	69.16	23	10.13	47	20.70
50029	156	72	46.15	31	19.87	53	33.97
50030	170	85	50.00	44	25.88	41	24.12
50031	202	99	49.01	28	13.86	75	37.13
50032	205	106	51.71	37	18.05	62	30.24
50033	197	137	69.54	40	20.30	20	10.15
50034	289	174	60.21	66	22.84	49	16.96
50035	258	147	56.98	61	23.64	50	19.38
50036	236	165	69.92	41	17.37	30	12.71
50037	216	151	69.91	30	13.89	35	16.20
50038	149	104	69.80	33	22.15	12	8.05
50039	143	95	66.43	28	19.58	20	13.99
50040	265	203	76.60	35	13.21	27	10.19
