Precinct	Register Voters	Ballots Cast	Turnout %
01001	753	259	34.40
01002	706	254	35.98
01003	811	269	33.17
01004	790	277	35.06
01005	784	217	27.68
01006	748	290	38.77
01007	462	186	40.26
01008	716	270	37.71
01009	543	264	48.62
01010	797	226	28.36
01011	755	253	33.51
01012	877	300	34.21
01013	346	121	34.97
01014	713	270	37.87
01015	685	256	37.37
01016	546	228	41.76
01017	676	251	37.13
01018	779	290	37.23
01019	911	388	42.59
01020	638	238	37.30
01021	783	232	29.63
01022	513	168	32.75
01023	962	395	41.06
01024	725	200	27.59
01025	730	202	27.67
01026	644	198	30.75
01027	765	247	32.29
01028	330	133	40.30
01029	684	257	37.57
01030	828	311	37.56
01031	764	279	36.52
01032	686	264	38.48
01033	820	282	34.39
01034	609	235	38.59
01035	797	299	37.52
01036	708	232	32.77
01037	697	241	34.58
01038	676	271	40.09
01039	694	236	34.01
01040	719	282	39.22
01041	444	192	43.24
01042	228	91	39.91
01043	507	183	36.09
01044	558	196	35.13
02001	798	251	31.45
02002	568	346	60.92
02003	764	278	36.39
02004	726	269	37.05
02005	824	313	37.99
02006	782	271	34.65
02007	951	283	29.76
02008	816	289	35.42
02009	700	273	39.00
02010	686	371	54.08
02011	637	377	59.18
02012	725	337	46.48
02013	648	399	61.57
02014	754	343	45.49
02015	715	277	38.74
02016	722	219	30.33
02017	860	353	41.05
02018	606	291	48.02
02019	547	305	55.76
02020	874	274	31.35
02021	745	316	42.42
02022	749	383	51.13
02023	543	337	62.06
02024	708	296	41.81
02025	745	268	35.97
02026	731	246	33.65
02027	653	301	46.09
02028	811	348	42.91
02029	789	293	37.14
02030	657	293	44.60
02031	954	486	50.94
02032	632	235	37.18
02033	952	532	55.88
02034	574	343	59.76
02035	913	282	30.89
02036	573	280	48.87
02037	626	364	58.15
02038	683	376	55.05
02039	579	253	43.70
02040	775	253	32.65
02041	755	210	27.81
02042	745	283	37.99
02043	805	357	44.35
02044	430	233	54.19
02045	774	343	44.32
02046	462	187	40.48
