Precinct	Votes	votes|Gregory I. Mitchell	pct|Gregory I. Mitchell	votes|Natashia L. Holmes	pct|Natashia L. Holmes
07001	215	80	37.21	135	62.79
07002	230	135	58.70	95	41.30
07003	282	126	44.68	156	55.32
07004	287	160	55.75	127	44.25
07005	216	121	56.02	95	43.98
07006	383	211	55.09	172	44.91
07007	220	109	49.55	111	50.45
07008	279	117	41.94	162	58.06
07009	496	250	50.40	246	49.60
07010	297	155	52.19	142	47.81
07011	255	111	43.53	144	56.47
07012	250	106	42.40	144	57.60
07013	214	87	40.65	127	59.35
07014	254	108	42.52	146	57.48
07015	292	167	57.19	125	42.81
07016	220	114	51.82	106	48.18
07017	212	116	54.72	96	45.28
07018	221	92	41.63	129	58.37
07019	265	130	49.06	135	50.94
07020	172	89	51.74	83	48.26
07021	189	98	51.85	91	48.15
07022	206	110	53.40	96	46.60
07023	310	180	58.06	130	41.94
07024	256	142	55.47	114	44.53
07025	229	121	52.84	108	47.16
07026	222	122	54.95	100	45.05
07027	228	130	57.02	98	42.98
07028	204	103	50.49	101	49.51
07029	233	136	58.37	97	41.63
07030	203	123	60.59	80	39.41
07031	167	111	66.47	56	33.53
07032	433	294	67.90	139	32.10
07033	402	271	67.41	131	32.59
07034	356	237	66.57	119	33.43
07035	273	181	66.30	92	33.70
07036	352	249	70.74	103	29.26
07037	332	204	61.45	128	38.55
07038	196	128	65.31	68	34.69
07039	274	169	61.68	105	38.32
07040	285	209	73.33	76	26.67
07041	258	181	70.16	77	29.84
07042	264	190	71.97	74	28.03
07043	262	169	64.50	93	35.50
07044	238	147	61.76	91	38.24
07045	254	166	65.35	88	34.65
07046	149	43	28.86	106	71.14
