Precinct	Votes	votes|Toni L. Foulkes	pct|Toni L. Foulkes	votes|Stephanie Coleman	pct|Stephanie Coleman
16001	299	255	85.28	44	14.72
16002	210	114	54.29	96	45.71
16003	210	119	56.67	91	43.33
16004	222	125	56.31	97	43.69
16005	183	76	41.53	107	58.47
16006	207	135	65.22	72	34.78
16007	216	86	39.81	130	60.19
16008	128	60	46.88	68	53.13
16009	243	81	33.33	162	66.67
16010	210	96	45.71	114	54.29
16011	221	121	54.75	100	45.25
16012	175	84	48.00	91	52.00
16013	210	133	63.33	77	36.67
16014	181	56	30.94	125	69.06
16015	246	85	34.55	161	65.45
16016	251	172	68.53	79	31.47
16017	222	125	56.31	97	43.69
16018	243	138	56.79	105	43.21
16019	193	103	53.37	90	46.63
16020	206	65	31.55	141	68.45
16021	180	101	56.11	79	43.89
16022	192	114	59.38	78	40.63
16023	217	135	62.21	82	37.79
16024	147	85	57.82	62	42.18
16025	244	82	33.61	162	66.39
16026	213	51	23.94	162	76.06
16027	181	90	49.72	91	50.28
16028	273	136	49.82	137	50.18
16029	193	114	59.07	79	40.93
16030	202	93	46.04	109	53.96
16031	243	94	38.68	149	61.32
16032	225	147	65.33	78	34.67
16033	230	117	50.87	113	49.13
16034	205	97	47.32	108	52.68
16035	210	133	63.33	77	36.67
16036	184	61	33.15	123	66.85
