Precinct	Votes	votes|Joseph J. Moseley, Ii	pct|Joseph J. Moseley, Ii	votes|Gregory I. Mitchell	pct|Gregory I. Mitchell	votes|Lashonda Curry	pct|Lashonda Curry	votes|Keiana Barrett	pct|Keiana Barrett	votes|Flora ''Flo'' Digby	pct|Flora ''Flo'' Digby	votes|Natashia L. Holmes	pct|Natashia L. Holmes	votes|Bernie Riley	pct|Bernie Riley	votes|Margie Reid	pct|Margie Reid
07001	201	17	8.46	22	10.95	36	17.91	32	15.92	22	10.95	65	32.34	2	1.00	5	2.49
07002	182	9	4.95	48	26.37	35	19.23	29	15.93	8	4.40	46	25.27	4	2.20	3	1.65
07003	246	7	2.85	27	10.98	35	14.23	54	21.95	35	14.23	81	32.93	3	1.22	4	1.63
07004	234	5	2.14	48	20.51	23	9.83	44	18.80	60	25.64	51	21.79	2	0.85	1	0.43
07005	223	8	3.59	42	18.83	27	12.11	48	21.52	26	11.66	65	29.15	4	1.79	3	1.35
07006	284	9	3.17	46	16.20	20	7.04	109	38.38	23	8.10	71	25.00	4	1.41	2	0.70
07007	173	9	5.20	27	15.61	18	10.40	29	16.76	27	15.61	59	34.10	3	1.73	1	0.58
07008	229	12	5.24	13	5.68	16	6.99	62	27.07	30	13.10	86	37.55	3	1.31	7	3.06
07009	431	22	5.10	32	7.42	47	10.90	114	26.45	77	17.87	125	29.00	5	1.16	9	2.09
07010	257	9	3.50	46	17.90	28	10.89	60	23.35	49	19.07	62	24.12	3	1.17	0	0
07011	239	17	7.11	30	12.55	21	8.79	51	21.34	21	8.79	88	36.82	6	2.51	5	2.09
07012	203	15	7.39	13	6.40	20	9.85	54	26.60	28	13.79	62	30.54	5	2.46	6	2.96
07013	188	15	7.98	13	6.91	19	10.11	48	25.53	20	10.64	59	31.38	2	1.06	12	6.38
07014	234	15	6.41	28	11.97	36	15.38	62	26.50	19	8.12	58	24.79	11	4.70	5	2.14
07015	272	19	6.99	26	9.56	28	10.29	47	17.28	88	32.35	51	18.75	6	2.21	7	2.57
07016	167	8	4.79	31	18.56	22	13.17	25	14.97	17	10.18	59	35.33	2	1.20	3	1.80
07017	171	8	4.68	36	21.05	7	4.09	37	21.64	22	12.87	51	29.82	5	2.92	5	2.92
07018	189	15	7.94	19	10.05	36	19.05	47	24.87	11	5.82	49	25.93	6	3.17	6	3.17
07019	212	13	6.13	19	8.96	25	11.79	48	22.64	39	18.40	57	26.89	2	0.94	9	4.25
07020	162	14	8.64	28	17.28	26	16.05	35	21.60	12	7.41	30	18.52	0	0	17	10.49
07021	166	7	4.22	24	14.46	27	16.27	36	21.69	18	10.84	32	19.28	4	2.41	18	10.84
07022	198	10	5.05	32	16.16	24	12.12	68	34.34	8	4.04	40	20.20	3	1.52	13	6.57
07023	264	25	9.47	43	16.29	48	18.18	51	19.32	40	15.15	43	16.29	2	0.76	12	4.55
07024	238	39	16.39	39	16.39	32	13.45	35	14.71	15	6.30	44	18.49	2	0.84	32	13.45
07025	198	17	8.59	12	6.06	25	12.63	52	26.26	7	3.54	45	22.73	2	1.01	38	19.19
07026	202	17	8.42	32	15.84	52	25.74	13	6.44	30	14.85	53	26.24	2	0.99	3	1.49
07027	213	23	10.80	38	17.84	38	17.84	36	16.90	11	5.16	61	28.64	4	1.88	2	0.94
07028	172	17	9.88	14	8.14	28	16.28	40	23.26	11	6.40	43	25.00	4	2.33	15	8.72
07029	210	15	7.14	51	24.29	32	15.24	26	12.38	13	6.19	58	27.62	3	1.43	12	5.71
07030	167	18	10.78	20	11.98	23	13.77	27	16.17	13	7.78	48	28.74	4	2.40	14	8.38
07031	138	11	7.97	46	33.33	15	10.87	14	10.14	13	9.42	27	19.57	0	0	12	8.70
07032	382	78	20.42	96	25.13	37	9.69	63	16.49	32	8.38	73	19.11	0	0	3	0.79
07033	365	29	7.95	116	31.78	34	9.32	63	17.26	28	7.67	88	24.11	3	0.82	4	1.10
07034	309	22	7.12	83	26.86	49	15.86	36	11.65	29	9.39	79	25.57	4	1.29	7	2.27
07035	235	14	5.96	73	31.06	24	10.21	27	11.49	21	8.94	62	26.38	4	1.70	10	4.26
07036	305	29	9.51	83	27.21	48	15.74	33	10.82	43	14.10	61	20.00	1	0.33	7	2.30
07037	288	20	6.94	76	26.39	40	13.89	48	16.67	19	6.60	73	25.35	1	0.35	11	3.82
07038	176	15	8.52	54	30.68	24	13.64	19	10.80	18	10.23	43	24.43	1	0.57	2	1.14
07039	214	4	1.87	74	34.58	20	9.35	32	14.95	21	9.81	60	28.04	2	0.93	1	0.47
07040	245	11	4.49	120	48.98	16	6.53	29	11.84	10	4.08	58	23.67	0	0	1	0.41
07041	215	9	4.19	106	49.30	26	12.09	11	5.12	12	5.58	49	22.79	0	0	2	0.93
07042	211	19	9.00	86	40.76	33	15.64	21	9.95	20	9.48	32	15.17	0	0	0	0
07043	237	17	7.17	75	31.65	35	14.77	28	11.81	22	9.28	56	23.63	0	0	4	1.69
07044	196	16	8.16	45	22.96	38	19.39	29	14.80	15	7.65	44	22.45	1	0.51	8	4.08
07045	216	30	13.89	47	21.76	21	9.72	32	14.81	35	16.20	47	21.76	0	0	4	1.85
07046	117	3	2.56	6	5.13	19	16.24	19	16.24	5	4.27	48	41.03	0	0	17	14.53
