Precinct	Votes	votes|Rahm Emanuel	pct|Rahm Emanuel	votes|Willie Wilson	pct|Willie Wilson	votes|Robert W. Fioretti	pct|Robert W. Fioretti	votes|Jesus ''Chuy'' Garcia	pct|Jesus ''Chuy'' Garcia	votes|William Walls, Iii	pct|William Walls, Iii
41021	321	180	56.07	10	3.12	53	16.51	76	23.68	2	0.62
41022	341	148	43.40	16	4.69	70	20.53	104	30.50	3	0.88
41023	322	165	51.24	11	3.42	59	18.32	86	26.71	1	0.31
41024	298	147	49.33	1	0.34	47	15.77	102	34.23	1	0.34
41025	141	71	50.35	8	5.67	20	14.18	40	28.37	2	1.42
41026	342	148	43.27	18	5.26	61	17.84	111	32.46	4	1.17
41027	199	110	55.28	3	1.51	28	14.07	57	28.64	1	0.50
41028	186	101	54.30	9	4.84	16	8.60	57	30.65	3	1.61
41029	152	85	55.92	6	3.95	18	11.84	42	27.63	1	0.66
41030	319	130	40.75	5	1.57	68	21.32	114	35.74	2	0.63
41031	398	245	61.56	9	2.26	47	11.81	95	23.87	2	0.50
41032	249	125	50.20	9	3.61	43	17.27	69	27.71	3	1.20
41033	296	131	44.26	12	4.05	77	26.01	76	25.68	0	0
41034	271	135	49.82	3	1.11	56	20.66	74	27.31	3	1.11
41035	363	161	44.35	17	4.68	65	17.91	114	31.40	6	1.65
41036	298	144	48.32	7	2.35	52	17.45	94	31.54	1	0.34
41037	337	155	45.99	9	2.67	63	18.69	108	32.05	2	0.59
41038	285	127	44.56	1	0.35	53	18.60	100	35.09	4	1.40
41039	340	160	47.06	12	3.53	51	15.00	114	33.53	3	0.88
41040	394	168	42.64	12	3.05	83	21.07	129	32.74	2	0.51
41041	342	168	49.12	8	2.34	65	19.01	101	29.53	0	0
41042	331	142	42.90	16	4.83	75	22.66	95	28.70	3	0.91
41043	327	151	46.18	6	1.83	54	16.51	113	34.56	3	0.92
41044	369	170	46.07	13	3.52	71	19.24	112	30.35	3	0.81
41045	277	106	38.27	14	5.05	58	20.94	96	34.66	3	1.08
