Precinct	Votes	votes|Anthony A. Beale	pct|Anthony A. Beale	votes|Michael E. Lafargue	pct|Michael E. Lafargue	votes|Harold ''Noonie'' Ward	pct|Harold ''Noonie'' Ward	votes|Theodore Williams	pct|Theodore Williams
09001	239	166	69.46	33	13.81	11	4.60	29	12.13
09002	207	146	70.53	24	11.59	24	11.59	13	6.28
09003	145	44	30.34	0	0	91	62.76	10	6.90
09004	185	115	62.16	21	11.35	25	13.51	24	12.97
09005	236	171	72.46	33	13.98	15	6.36	17	7.20
09006	244	164	67.21	14	5.74	16	6.56	50	20.49
09007	166	94	56.63	25	15.06	18	10.84	29	17.47
09008	202	125	61.88	43	21.29	10	4.95	24	11.88
09009	290	198	68.28	41	14.14	27	9.31	24	8.28
09010	195	152	77.95	11	5.64	21	10.77	11	5.64
09011	178	110	61.80	10	5.62	23	12.92	35	19.66
09012	268	191	71.27	31	11.57	24	8.96	22	8.21
09013	310	216	69.68	36	11.61	25	8.06	33	10.65
09014	338	248	73.37	38	11.24	20	5.92	32	9.47
09015	153	43	28.10	4	2.61	85	55.56	21	13.73
09016	226	132	58.41	12	5.31	34	15.04	48	21.24
09017	181	127	70.17	15	8.29	22	12.15	17	9.39
09018	156	92	58.97	13	8.33	17	10.90	34	21.79
09019	215	138	64.19	18	8.37	20	9.30	39	18.14
09020	275	180	65.45	29	10.55	25	9.09	41	14.91
09021	216	151	69.91	24	11.11	17	7.87	24	11.11
09022	275	183	66.55	54	19.64	17	6.18	21	7.64
09023	274	130	47.45	108	39.42	9	3.28	27	9.85
09024	264	179	67.80	51	19.32	10	3.79	24	9.09
09025	246	144	58.54	48	19.51	29	11.79	25	10.16
09026	146	75	51.37	11	7.53	47	32.19	13	8.90
09027	214	156	72.90	27	12.62	14	6.54	17	7.94
09028	119	87	73.11	12	10.08	13	10.92	7	5.88
09029	218	147	67.43	25	11.47	26	11.93	20	9.17
09030	193	129	66.84	22	11.40	30	15.54	12	6.22
09031	197	123	62.44	32	16.24	27	13.71	15	7.61
09032	229	155	67.69	35	15.28	20	8.73	19	8.30
09033	180	81	45.00	11	6.11	51	28.33	37	20.56
09034	182	111	60.99	21	11.54	28	15.38	22	12.09
09035	258	175	67.83	38	14.73	16	6.20	29	11.24
09036	199	124	62.31	32	16.08	14	7.04	29	14.57
09037	318	217	68.24	52	16.35	14	4.40	35	11.01
09038	227	170	74.89	26	11.45	15	6.61	16	7.05
09039	254	158	62.20	21	8.27	37	14.57	38	14.96
09040	287	191	66.55	47	16.38	28	9.76	21	7.32
09041	217	140	64.52	8	3.69	25	11.52	44	20.28
09042	301	124	41.20	157	52.16	5	1.66	15	4.98
09043	199	137	68.84	21	10.55	25	12.56	16	8.04
09044	235	119	50.64	23	9.79	42	17.87	51	21.70
09045	184	112	60.87	19	10.33	20	10.87	33	17.93
09046	239	149	62.34	32	13.39	34	14.23	24	10.04
09047	312	174	55.77	105	33.65	11	3.53	22	7.05
09048	273	163	59.71	49	17.95	18	6.59	43	15.75
09049	228	139	60.96	44	19.30	8	3.51	37	16.23
09050	350	139	39.71	165	47.14	10	2.86	36	10.29
09051	263	173	65.78	51	19.39	12	4.56	27	10.27
