Precinct	Votes	votes|Susan Sadlowski Garza	pct|Susan Sadlowski Garza	votes|Robert ''Bobby'' Loncar	pct|Robert ''Bobby'' Loncar
10001	208	162	77.88	46	22.12
10002	296	198	66.89	98	33.11
10003	307	172	56.03	135	43.97
10004	162	113	69.75	49	30.25
10005	244	169	69.26	75	30.74
10006	261	101	38.70	160	61.30
10007	195	125	64.10	70	35.90
10008	99	76	76.77	23	23.23
10009	275	167	60.73	108	39.27
10010	312	218	69.87	94	30.13
10011	294	239	81.29	55	18.71
10012	181	135	74.59	46	25.41
10013	239	191	79.92	48	20.08
10014	366	263	71.86	103	28.14
10015	453	335	73.95	118	26.05
10016	188	129	68.62	59	31.38
10017	368	231	62.77	137	37.23
10018	130	98	75.38	32	24.62
10019	314	179	57.01	135	42.99
10020	293	198	67.58	95	32.42
10021	258	145	56.20	113	43.80
10022	124	97	78.23	27	21.77
10023	213	164	77.00	49	23.00
10024	274	179	65.33	95	34.67
10025	78	58	74.36	20	25.64
10026	169	118	69.82	51	30.18
10027	158	108	68.35	50	31.65
10028	304	235	77.30	69	22.70
10029	219	161	73.52	58	26.48
10030	219	168	76.71	51	23.29
10031	167	119	71.26	48	28.74
10032	276	197	71.38	79	28.62
10033	182	131	71.98	51	28.02
10034	154	112	72.73	42	27.27
10035	367	242	65.94	125	34.06
10036	66	40	60.61	26	39.39
