Precinct	Votes	votes|Roderick T. Sawyer	pct|Roderick T. Sawyer	votes|Richard A. Wooten	pct|Richard A. Wooten	votes|Deborah A. Foster-Bonner	pct|Deborah A. Foster-Bonner
06001	302	126	41.72	59	19.54	117	38.74
06002	262	112	42.75	56	21.37	94	35.88
06003	317	138	43.53	96	30.28	83	26.18
06004	186	107	57.53	25	13.44	54	29.03
06005	147	80	54.42	26	17.69	41	27.89
06006	294	177	60.20	34	11.56	83	28.23
06007	213	96	45.07	28	13.15	89	41.78
06008	267	133	49.81	46	17.23	88	32.96
06009	193	114	59.07	25	12.95	54	27.98
06010	151	77	50.99	33	21.85	41	27.15
06011	201	116	57.71	39	19.40	46	22.89
06012	152	72	47.37	26	17.11	54	35.53
06013	202	45	22.28	119	58.91	38	18.81
06014	236	143	60.59	36	15.25	57	24.15
06015	176	87	49.43	43	24.43	46	26.14
06016	305	155	50.82	70	22.95	80	26.23
06017	156	88	56.41	30	19.23	38	24.36
06018	164	83	50.61	32	19.51	49	29.88
06019	227	88	38.77	60	26.43	79	34.80
06020	124	68	54.84	27	21.77	29	23.39
06021	110	57	51.82	13	11.82	40	36.36
06022	137	79	57.66	13	9.49	45	32.85
06023	101	51	50.50	16	15.84	34	33.66
06024	129	82	63.57	17	13.18	30	23.26
06025	112	65	58.04	16	14.29	31	27.68
06026	147	68	46.26	41	27.89	38	25.85
06027	125	61	48.80	25	20.00	39	31.20
06028	118	52	44.07	31	26.27	35	29.66
06029	284	168	59.15	55	19.37	61	21.48
06030	204	107	52.45	41	20.10	56	27.45
06031	275	112	40.73	85	30.91	78	28.36
06032	244	148	60.66	29	11.89	67	27.46
06033	245	122	49.80	47	19.18	76	31.02
06034	258	137	53.10	34	13.18	87	33.72
06035	237	121	51.05	39	16.46	77	32.49
06036	311	172	55.31	55	17.68	84	27.01
06037	302	156	51.66	58	19.21	88	29.14
06038	277	120	43.32	60	21.66	97	35.02
06039	190	95	50.00	24	12.63	71	37.37
06040	228	116	50.88	29	12.72	83	36.40
06041	254	130	51.18	47	18.50	77	30.31
06042	222	111	50.00	28	12.61	83	37.39
06043	219	113	51.60	34	15.53	72	32.88
06044	217	92	42.40	38	17.51	87	40.09
06045	278	96	34.53	28	10.07	154	55.40
06046	171	85	49.71	29	16.96	57	33.33
06047	185	94	50.81	24	12.97	67	36.22
06048	257	138	53.70	34	13.23	85	33.07
