Precinct	Votes	votes|Amanda Yu Dieterich	pct|Amanda Yu Dieterich	votes|Carlos Ramirez-Rosa	pct|Carlos Ramirez-Rosa
35001	300	108	36.00	192	64.00
35002	386	126	32.64	260	67.36
35003	215	94	43.72	121	56.28
35004	278	104	37.41	174	62.59
35005	244	89	36.48	155	63.52
35006	248	93	37.50	155	62.50
35007	261	87	33.33	174	66.67
35008	282	116	41.13	166	58.87
35009	270	121	44.81	149	55.19
35010	374	118	31.55	256	68.45
35011	324	133	41.05	191	58.95
35012	150	52	34.67	98	65.33
35013	132	54	40.91	78	59.09
35014	182	84	46.15	98	53.85
35015	330	119	36.06	211	63.94
35016	157	41	26.11	116	73.89
35017	318	115	36.16	203	63.84
35018	179	62	34.64	117	65.36
35019	120	51	42.50	69	57.50
35020	213	96	45.07	117	54.93
35021	264	80	30.30	184	69.70
35022	313	157	50.16	156	49.84
35023	293	126	43.00	167	57.00
35024	274	125	45.62	149	54.38
35025	282	107	37.94	175	62.06
35026	246	102	41.46	144	58.54
35027	211	103	48.82	108	51.18
35028	291	145	49.83	146	50.17
35029	229	114	49.78	115	50.22
35030	240	124	51.67	116	48.33
35031	302	162	53.64	140	46.36
