Precinct	Votes	votes|Harry Osterman	pct|Harry Osterman	votes|David Earl Williams Iii	pct|David Earl Williams Iii
48001	320	275	85.94	45	14.06
48002	203	180	88.67	23	11.33
48003	350	289	82.57	61	17.43
48004	363	303	83.47	60	16.53
48005	268	244	91.04	24	8.96
48006	364	296	81.32	68	18.68
48007	335	307	91.64	28	8.36
48008	209	182	87.08	27	12.92
48009	232	188	81.03	44	18.97
48010	513	448	87.33	65	12.67
48011	355	324	91.27	31	8.73
48012	427	359	84.07	68	15.93
48013	454	380	83.70	74	16.30
48014	208	152	73.08	56	26.92
48015	190	160	84.21	30	15.79
48016	307	255	83.06	52	16.94
48017	332	268	80.72	64	19.28
48018	257	185	71.98	72	28.02
48019	282	241	85.46	41	14.54
48020	411	349	84.91	62	15.09
48021	424	335	79.01	89	20.99
48022	362	297	82.04	65	17.96
48023	374	327	87.43	47	12.57
48024	351	286	81.48	65	18.52
48025	366	321	87.70	45	12.30
48026	140	125	89.29	15	10.71
48027	303	227	74.92	76	25.08
48028	376	296	78.72	80	21.28
48029	237	200	84.39	37	15.61
48030	361	323	89.47	38	10.53
48031	359	269	74.93	90	25.07
48032	306	232	75.82	74	24.18
48033	240	208	86.67	32	13.33
48034	308	271	87.99	37	12.01
48035	246	195	79.27	51	20.73
48036	239	192	80.33	47	19.67
48037	341	297	87.10	44	12.90
48038	431	396	91.88	35	8.12
48039	310	267	86.13	43	13.87
48040	314	267	85.03	47	14.97
48041	353	286	81.02	67	18.98
48042	425	356	83.76	69	16.24
48043	348	272	78.16	76	21.84
48044	447	388	86.80	59	13.20
48045	278	237	85.25	41	14.75
48046	238	187	78.57	51	21.43
