Precinct	Votes	votes|Patricia ''Pat'' Dowell	pct|Patricia ''Pat'' Dowell	votes|Alexandria Willis	pct|Alexandria Willis
03001	399	255	63.91	144	36.09
03002	459	349	76.03	110	23.97
03003	311	208	66.88	103	33.12
03004	375	236	62.93	139	37.07
03005	186	105	56.45	81	43.55
03006	406	299	73.65	107	26.35
03007	257	195	75.88	62	24.12
03008	229	146	63.76	83	36.24
03009	334	199	59.58	135	40.42
03010	127	79	62.20	48	37.80
03011	294	172	58.50	122	41.50
03012	368	261	70.92	107	29.08
03013	407	324	79.61	83	20.39
03014	319	233	73.04	86	26.96
03015	259	151	58.30	108	41.70
03016	254	152	59.84	102	40.16
03017	344	235	68.31	109	31.69
03018	385	268	69.61	117	30.39
03019	379	282	74.41	97	25.59
03020	324	218	67.28	106	32.72
03021	395	302	76.46	93	23.54
03022	400	287	71.75	113	28.25
03023	241	149	61.83	92	38.17
03024	262	178	67.94	84	32.06
03025	526	389	73.95	137	26.05
03026	457	379	82.93	78	17.07
03027	414	305	73.67	109	26.33
03028	274	193	70.44	81	29.56
03029	268	178	66.42	90	33.58
03030	289	163	56.40	126	43.60
03031	344	219	63.66	125	36.34
03032	348	252	72.41	96	27.59
03033	335	231	68.96	104	31.04
03034	378	291	76.98	87	23.02
03035	133	83	62.41	50	37.59
03036	151	85	56.29	66	43.71
03037	264	148	56.06	116	43.94
03038	318	248	77.99	70	22.01
03039	423	283	66.90	140	33.10
03040	254	172	67.72	82	32.28
03041	274	183	66.79	91	33.21
