Precinct	Votes	votes|David H. Moore	pct|David H. Moore	votes|Raynetta Greenleaf	pct|Raynetta Greenleaf
17001	183	140	76.50	43	23.50
17002	192	119	61.98	73	38.02
17003	215	153	71.16	62	28.84
17004	265	161	60.75	104	39.25
17005	167	113	67.66	54	32.34
17006	153	103	67.32	50	32.68
17007	137	90	65.69	47	34.31
17008	143	117	81.82	26	18.18
17009	165	106	64.24	59	35.76
17010	283	181	63.96	102	36.04
17011	161	112	69.57	49	30.43
17012	231	148	64.07	83	35.93
17013	195	129	66.15	66	33.85
17014	222	171	77.03	51	22.97
17015	217	140	64.52	77	35.48
17016	170	121	71.18	49	28.82
17017	192	104	54.17	88	45.83
17018	241	168	69.71	73	30.29
17019	103	67	65.05	36	34.95
17020	275	159	57.82	116	42.18
17021	336	235	69.94	101	30.06
17022	174	116	66.67	58	33.33
17023	122	93	76.23	29	23.77
17024	259	177	68.34	82	31.66
17025	145	93	64.14	52	35.86
17026	232	144	62.07	88	37.93
17027	204	115	56.37	89	43.63
17028	172	97	56.40	75	43.60
17029	219	154	70.32	65	29.68
17030	134	99	73.88	35	26.12
17031	124	88	70.97	36	29.03
17032	153	103	67.32	50	32.68
17033	127	86	67.72	41	32.28
17034	150	110	73.33	40	26.67
17035	150	96	64.00	54	36.00
17036	214	176	82.24	38	17.76
17037	184	138	75.00	46	25.00
17038	196	111	56.63	85	43.37
17039	209	135	64.59	74	35.41
17040	228	173	75.88	55	24.12
17041	268	175	65.30	93	34.70
