Precinct	Votes	votes|Anthony A. Beale	pct|Anthony A. Beale	votes|Cleopatra Watson	pct|Cleopatra Watson	votes|Paul Collins	pct|Paul Collins	votes|Essie Hall	pct|Essie Hall
09001	239	153	64.02	70	29.29	11	4.60	5	2.09
09002	204	126	61.76	43	21.08	15	7.35	20	9.80
09003	122	34	27.87	54	44.26	12	9.84	22	18.03
09004	187	105	56.15	33	17.65	32	17.11	17	9.09
09005	244	142	58.20	74	30.33	14	5.74	14	5.74
09006	219	133	60.73	53	24.20	16	7.31	17	7.76
09007	190	107	56.32	51	26.84	12	6.32	20	10.53
09008	191	104	54.45	78	40.84	5	2.62	4	2.09
09009	286	196	68.53	68	23.78	13	4.55	9	3.15
09010	175	118	67.43	44	25.14	3	1.71	10	5.71
09011	168	86	51.19	44	26.19	23	13.69	15	8.93
09012	281	142	50.53	61	21.71	66	23.49	12	4.27
09013	293	207	70.65	50	17.06	17	5.80	19	6.48
09014	314	220	70.06	59	18.79	18	5.73	17	5.41
09015	149	44	29.53	54	36.24	20	13.42	31	20.81
09016	218	136	62.39	35	16.06	33	15.14	14	6.42
09017	151	98	64.90	41	27.15	4	2.65	8	5.30
09018	164	99	60.37	35	21.34	13	7.93	17	10.37
09019	209	121	57.89	50	23.92	16	7.66	22	10.53
09020	247	166	67.21	52	21.05	12	4.86	17	6.88
09021	215	152	70.70	47	21.86	10	4.65	6	2.79
09022	280	167	59.64	61	21.79	41	14.64	11	3.93
09023	296	164	55.41	86	29.05	34	11.49	12	4.05
09024	249	174	69.88	52	20.88	8	3.21	15	6.02
09025	249	134	53.82	79	31.73	25	10.04	11	4.42
09026	175	85	48.57	32	18.29	14	8.00	44	25.14
09027	197	124	62.94	58	29.44	6	3.05	9	4.57
09028	94	61	64.89	18	19.15	8	8.51	7	7.45
09029	201	112	55.72	65	32.34	7	3.48	17	8.46
09030	175	118	67.43	42	24.00	7	4.00	8	4.57
09031	167	98	58.68	50	29.94	3	1.80	16	9.58
09032	229	151	65.94	48	20.96	23	10.04	7	3.06
09033	161	73	45.34	41	25.47	17	10.56	30	18.63
09034	183	86	46.99	69	37.70	14	7.65	14	7.65
09035	254	166	65.35	62	24.41	16	6.30	10	3.94
09036	183	97	53.01	56	30.60	22	12.02	8	4.37
09037	370	238	64.32	75	20.27	45	12.16	12	3.24
09038	222	162	72.97	40	18.02	9	4.05	11	4.95
09039	256	127	49.61	77	30.08	20	7.81	32	12.50
09040	282	183	64.89	71	25.18	23	8.16	5	1.77
09041	197	113	57.36	43	21.83	20	10.15	21	10.66
09042	281	151	53.74	101	35.94	17	6.05	12	4.27
09043	196	122	62.24	56	28.57	6	3.06	12	6.12
09044	230	110	47.83	66	28.70	32	13.91	22	9.57
09045	167	100	59.88	26	15.57	24	14.37	17	10.18
09046	242	152	62.81	62	25.62	14	5.79	14	5.79
09047	288	162	56.25	94	32.64	16	5.56	16	5.56
09048	261	158	60.54	59	22.61	36	13.79	8	3.07
09049	271	177	65.31	53	19.56	22	8.12	19	7.01
09050	350	179	51.14	125	35.71	25	7.14	21	6.00
09051	251	140	55.78	86	34.26	19	7.57	6	2.39
