Precinct	Votes	votes|James Cappleman	pct|James Cappleman	votes|Marianne Lalonde	pct|Marianne Lalonde
46001	331	169	51.06	162	48.94
46002	325	185	56.92	140	43.08
46003	453	193	42.60	260	57.40
46004	378	249	65.87	129	34.13
46005	343	154	44.90	189	55.10
46006	312	159	50.96	153	49.04
46007	439	280	63.78	159	36.22
46008	256	137	53.52	119	46.48
46009	390	212	54.36	178	45.64
46010	426	179	42.02	247	57.98
46011	306	153	50.00	153	50.00
46012	404	175	43.32	229	56.68
46013	314	182	57.96	132	42.04
46014	299	128	42.81	171	57.19
46015	324	206	63.58	118	36.42
46016	431	219	50.81	212	49.19
46017	419	237	56.56	182	43.44
46018	404	227	56.19	177	43.81
46019	295	171	57.97	124	42.03
46020	309	163	52.75	146	47.25
46021	235	113	48.09	122	51.91
46022	301	57	18.94	244	81.06
46023	290	131	45.17	159	54.83
46024	415	204	49.16	211	50.84
46025	388	181	46.65	207	53.35
46026	359	147	40.95	212	59.05
46027	446	191	42.83	255	57.17
46028	414	240	57.97	174	42.03
46029	313	185	59.11	128	40.89
46030	343	158	46.06	185	53.94
46031	311	121	38.91	190	61.09
46032	413	192	46.49	221	53.51
46033	401	193	48.13	208	51.87
46034	376	176	46.81	200	53.19
46035	379	226	59.63	153	40.37
46036	361	203	56.23	158	43.77
46037	281	124	44.13	157	55.87
46038	280	140	50.00	140	50.00
46039	330	142	43.03	188	56.97
46040	339	177	52.21	162	47.79
