Precinct	Votes	votes|Marty Quinn	pct|Marty Quinn	votes|David J. Krupa	pct|David J. Krupa
13001	257	202	78.60	55	21.40
13002	254	215	84.65	39	15.35
13003	191	161	84.29	30	15.71
13004	302	239	79.14	63	20.86
13005	292	263	90.07	29	9.93
13006	302	243	80.46	59	19.54
13007	182	166	91.21	16	8.79
13008	212	181	85.38	31	14.62
13009	231	197	85.28	34	14.72
13010	298	245	82.21	53	17.79
13011	323	253	78.33	70	21.67
13012	214	181	84.58	33	15.42
13013	264	228	86.36	36	13.64
13014	210	178	84.76	32	15.24
13015	339	313	92.33	26	7.67
13016	147	136	92.52	11	7.48
13017	245	207	84.49	38	15.51
13018	239	202	84.52	37	15.48
13019	278	255	91.73	23	8.27
13020	199	178	89.45	21	10.55
13021	370	321	86.76	49	13.24
13022	329	270	82.07	59	17.93
13023	171	159	92.98	12	7.02
13024	247	200	80.97	47	19.03
13025	217	188	86.64	29	13.36
13026	241	185	76.76	56	23.24
13027	265	237	89.43	28	10.57
13028	174	159	91.38	15	8.62
13029	202	174	86.14	28	13.86
13030	184	169	91.85	15	8.15
13031	339	287	84.66	52	15.34
13032	280	245	87.50	35	12.50
13033	307	237	77.20	70	22.80
13034	288	257	89.24	31	10.76
13035	246	223	90.65	23	9.35
13036	148	127	85.81	21	14.19
13037	290	249	85.86	41	14.14
13038	273	233	85.35	40	14.65
13039	249	229	91.97	20	8.03
13040	247	213	86.23	34	13.77
13041	259	230	88.80	29	11.20
13042	333	266	79.88	67	20.12
13043	251	213	84.86	38	15.14
13044	367	354	96.46	13	3.54
13045	372	312	83.87	60	16.13
13046	308	271	87.99	37	12.01
13047	284	263	92.61	21	7.39
13048	285	245	85.96	40	14.04
