Precinct	Votes	votes|Scott Waguespack	pct|Scott Waguespack
32001	278	278	100.00
32002	236	236	100.00
32003	331	331	100.00
32004	271	271	100.00
32005	252	252	100.00
32006	258	258	100.00
32007	237	237	100.00
32008	272	272	100.00
32009	235	235	100.00
32010	260	260	100.00
32011	274	274	100.00
32012	226	226	100.00
32013	241	241	100.00
32014	312	312	100.00
32015	265	265	100.00
32016	265	265	100.00
32017	283	283	100.00
32018	238	238	100.00
32019	242	242	100.00
32020	251	251	100.00
32021	335	335	100.00
32022	365	365	100.00
32023	292	292	100.00
32024	171	171	100.00
32025	261	261	100.00
32026	326	326	100.00
32027	263	263	100.00
32028	290	290	100.00
32029	299	299	100.00
32030	248	248	100.00
32031	263	263	100.00
32032	292	292	100.00
32033	283	283	100.00
32034	247	247	100.00
32035	257	257	100.00
32036	275	275	100.00
32037	229	229	100.00
32038	224	224	100.00
32039	281	281	100.00
32040	311	311	100.00
32041	304	304	100.00
32042	211	211	100.00
32043	265	265	100.00
