Precinct	Votes	votes|Roderick T. Sawyer	pct|Roderick T. Sawyer	votes|Deborah A. Foster-Bonner	pct|Deborah A. Foster-Bonner
06001	324	172	53.09	152	46.91
06002	302	137	45.36	165	54.64
06003	325	177	54.46	148	45.54
06004	197	122	61.93	75	38.07
06005	161	104	64.60	57	35.40
06006	323	182	56.35	141	43.65
06007	238	117	49.16	121	50.84
06008	309	158	51.13	151	48.87
06009	224	138	61.61	86	38.39
06010	149	85	57.05	64	42.95
06011	233	151	64.81	82	35.19
06012	156	89	57.05	67	42.95
06013	228	114	50.00	114	50.00
06014	261	139	53.26	122	46.74
06015	194	95	48.97	99	51.03
06016	321	179	55.76	142	44.24
06017	167	90	53.89	77	46.11
06018	174	86	49.43	88	50.57
06019	248	113	45.56	135	54.44
06020	144	76	52.78	68	47.22
06021	127	68	53.54	59	46.46
06022	150	91	60.67	59	39.33
06023	131	73	55.73	58	44.27
06024	140	95	67.86	45	32.14
06025	132	81	61.36	51	38.64
06026	161	100	62.11	61	37.89
06027	156	86	55.13	70	44.87
06028	120	67	55.83	53	44.17
06029	330	169	51.21	161	48.79
06030	206	106	51.46	100	48.54
06031	308	161	52.27	147	47.73
06032	257	153	59.53	104	40.47
06033	283	156	55.12	127	44.88
06034	271	139	51.29	132	48.71
06035	249	149	59.84	100	40.16
06036	344	184	53.49	160	46.51
06037	327	171	52.29	156	47.71
06038	309	163	52.75	146	47.25
06039	222	115	51.80	107	48.20
06040	262	144	54.96	118	45.04
06041	282	149	52.84	133	47.16
06042	261	134	51.34	127	48.66
06043	232	128	55.17	104	44.83
06044	245	126	51.43	119	48.57
06045	299	111	37.12	188	62.88
06046	182	86	47.25	96	52.75
06047	179	86	48.04	93	51.96
06048	274	151	55.11	123	44.89
