Precinct	Votes	votes|Nicholas Sposato	pct|Nicholas Sposato
38001	175	175	100.00
38002	358	358	100.00
38003	215	215	100.00
38004	227	227	100.00
38005	208	208	100.00
38006	216	216	100.00
38007	230	230	100.00
38008	186	186	100.00
38009	275	275	100.00
38010	176	176	100.00
38011	181	181	100.00
38012	286	286	100.00
38013	260	260	100.00
38014	250	250	100.00
38015	183	183	100.00
38016	252	252	100.00
38017	299	299	100.00
38018	249	249	100.00
38019	278	278	100.00
38020	264	264	100.00
38021	190	190	100.00
38022	207	207	100.00
38023	227	227	100.00
38024	275	275	100.00
38025	189	189	100.00
38026	226	226	100.00
38027	207	207	100.00
38028	296	296	100.00
38029	214	214	100.00
38030	214	214	100.00
38031	231	231	100.00
38032	177	177	100.00
38033	197	197	100.00
38034	237	237	100.00
38035	217	217	100.00
38036	184	184	100.00
38037	210	210	100.00
38038	203	203	100.00
38039	252	252	100.00
38040	213	213	100.00
38041	206	206	100.00
