Precinct	Votes	votes|Patrick J. O'Connor	pct|Patrick J. O'Connor	votes|André Vasquez	pct|André Vasquez
40001	302	208	68.87	94	31.13
40002	317	210	66.25	107	33.75
40003	432	172	39.81	260	60.19
40004	231	127	54.98	104	45.02
40005	397	190	47.86	207	52.14
40006	425	125	29.41	300	70.59
40007	376	167	44.41	209	55.59
40008	453	135	29.80	318	70.20
40009	256	142	55.47	114	44.53
40010	281	146	51.96	135	48.04
40011	402	172	42.79	230	57.21
40012	296	140	47.30	156	52.70
40013	514	139	27.04	375	72.96
40014	246	150	60.98	96	39.02
40015	311	195	62.70	116	37.30
40016	505	164	32.48	341	67.52
40017	344	191	55.52	153	44.48
40018	211	85	40.28	126	59.72
40019	403	231	57.32	172	42.68
40020	310	179	57.74	131	42.26
40021	446	207	46.41	239	53.59
40022	385	176	45.71	209	54.29
40023	482	166	34.44	316	65.56
40024	261	167	63.98	94	36.02
40025	454	189	41.63	265	58.37
40026	384	157	40.89	227	59.11
40027	437	168	38.44	269	61.56
40028	376	119	31.65	257	68.35
40029	390	260	66.67	130	33.33
40030	412	293	71.12	119	28.88
40031	417	152	36.45	265	63.55
40032	434	156	35.94	278	64.06
40033	407	163	40.05	244	59.95
40034	284	208	73.24	76	26.76
40035	199	110	55.28	89	44.72
40036	364	169	46.43	195	53.57
40037	293	123	41.98	170	58.02
40038	421	136	32.30	285	67.70
40039	82	44	53.66	38	46.34
