Precinct	Votes	votes|Gilbert Villegas	pct|Gilbert Villegas
36001	193	193	100.00
36002	161	161	100.00
36003	168	168	100.00
36004	148	148	100.00
36005	154	154	100.00
36006	143	143	100.00
36007	279	279	100.00
36008	131	131	100.00
36009	124	124	100.00
36010	236	236	100.00
36011	126	126	100.00
36012	99	99	100.00
36013	116	116	100.00
36014	234	234	100.00
36015	210	210	100.00
36016	248	248	100.00
36017	269	269	100.00
36018	226	226	100.00
36019	187	187	100.00
36020	212	212	100.00
36021	115	115	100.00
36022	114	114	100.00
36023	127	127	100.00
36024	196	196	100.00
36025	148	148	100.00
36026	191	191	100.00
36027	183	183	100.00
36028	186	186	100.00
36029	251	251	100.00
36030	201	201	100.00
