Precinct	Votes	votes|Milagros Santiago	pct|Milagros Santiago	votes|Felix Cardona Jr.	pct|Felix Cardona Jr.
31001	138	59	42.75	79	57.25
31002	133	69	51.88	64	48.12
31003	176	70	39.77	106	60.23
31004	254	132	51.97	122	48.03
31005	207	107	51.69	100	48.31
31006	131	61	46.56	70	53.44
31007	237	146	61.60	91	38.40
31008	131	67	51.15	64	48.85
31009	118	50	42.37	68	57.63
31010	142	74	52.11	68	47.89
31011	126	62	49.21	64	50.79
31012	167	79	47.31	88	52.69
31013	169	84	49.70	85	50.30
31014	150	83	55.33	67	44.67
31015	161	68	42.24	93	57.76
31016	218	123	56.42	95	43.58
31017	172	78	45.35	94	54.65
31018	146	68	46.58	78	53.42
31019	166	57	34.34	109	65.66
31020	129	46	35.66	83	64.34
31021	163	65	39.88	98	60.12
31022	122	52	42.62	70	57.38
31023	161	80	49.69	81	50.31
31024	206	86	41.75	120	58.25
31025	126	34	26.98	92	73.02
31026	194	79	40.72	115	59.28
31027	210	63	30.00	147	70.00
31028	121	60	49.59	61	50.41
31029	187	71	37.97	116	62.03
31030	120	53	44.17	67	55.83
31031	148	54	36.49	94	63.51
31032	114	52	45.61	62	54.39
31033	142	72	50.70	70	49.30
31034	150	71	47.33	79	52.67
31035	188	74	39.36	114	60.64
31036	219	84	38.36	135	61.64
31037	150	54	36.00	96	64.00
31038	127	63	49.61	64	50.39
31039	167	90	53.89	77	46.11
31040	176	96	54.55	80	45.45
31041	139	81	58.27	58	41.73
