Precinct	Votes	votes|Gregory I. Mitchell	pct|Gregory I. Mitchell	votes|Charles Kyle	pct|Charles Kyle	votes|Jedidiah L. Brown	pct|Jedidiah L. Brown
07001	224	133	59.38	43	19.20	48	21.43
07002	182	108	59.34	35	19.23	39	21.43
07003	267	176	65.92	50	18.73	41	15.36
07004	247	141	57.09	83	33.60	23	9.31
07005	222	121	54.50	50	22.52	51	22.97
07006	312	173	55.45	61	19.55	78	25.00
07007	188	92	48.94	52	27.66	44	23.40
07008	213	126	59.15	57	26.76	30	14.08
07009	422	244	57.82	50	11.85	128	30.33
07010	252	136	53.97	53	21.03	63	25.00
07011	209	84	40.19	57	27.27	68	32.54
07012	209	118	56.46	41	19.62	50	23.92
07013	159	72	45.28	26	16.35	61	38.36
07014	240	136	56.67	46	19.17	58	24.17
07015	229	131	57.21	42	18.34	56	24.45
07016	157	71	45.22	32	20.38	54	34.39
07017	161	87	54.04	25	15.53	49	30.43
07018	195	129	66.15	38	19.49	28	14.36
07019	222	142	63.96	35	15.77	45	20.27
07020	146	84	57.53	27	18.49	35	23.97
07021	158	84	53.16	29	18.35	45	28.48
07022	197	108	54.82	20	10.15	69	35.03
07023	260	187	71.92	27	10.38	46	17.69
07024	192	134	69.79	23	11.98	35	18.23
07025	153	112	73.20	17	11.11	24	15.69
07026	190	144	75.79	16	8.42	30	15.79
07027	185	143	77.30	15	8.11	27	14.59
07028	162	114	70.37	21	12.96	27	16.67
07029	185	138	74.59	16	8.65	31	16.76
07030	146	102	69.86	18	12.33	26	17.81
07031	142	103	72.54	10	7.04	29	20.42
07032	369	313	84.82	13	3.52	43	11.65
07033	349	306	87.68	18	5.16	25	7.16
07034	310	250	80.65	15	4.84	45	14.52
07035	240	179	74.58	14	5.83	47	19.58
07036	296	246	83.11	13	4.39	37	12.50
07037	276	237	85.87	17	6.16	22	7.97
07038	207	149	71.98	8	3.86	50	24.15
07039	239	169	70.71	18	7.53	52	21.76
07040	224	180	80.36	5	2.23	39	17.41
07041	218	151	69.27	8	3.67	59	27.06
07042	207	141	68.12	18	8.70	48	23.19
07043	228	148	64.91	9	3.95	71	31.14
07044	175	127	72.57	3	1.71	45	25.71
07045	184	121	65.76	10	5.43	53	28.80
07046	130	94	72.31	10	7.69	26	20.00
