Precinct	Votes	votes|Byron Sigcho-Lopez	pct|Byron Sigcho-Lopez	votes|Alexander Acevedo	pct|Alexander Acevedo
25001	290	131	45.17	159	54.83
25002	336	211	62.80	125	37.20
25003	290	153	52.76	137	47.24
25004	235	142	60.43	93	39.57
25005	369	178	48.24	191	51.76
25006	125	72	57.60	53	42.40
25007	304	210	69.08	94	30.92
25008	332	182	54.82	150	45.18
25009	297	172	57.91	125	42.09
25010	353	165	46.74	188	53.26
25011	306	182	59.48	124	40.52
25012	317	197	62.15	120	37.85
25013	342	219	64.04	123	35.96
25014	197	138	70.05	59	29.95
25015	260	131	50.38	129	49.62
25016	312	144	46.15	168	53.85
25017	359	181	50.42	178	49.58
25018	351	234	66.67	117	33.33
25019	343	198	57.73	145	42.27
25020	190	90	47.37	100	52.63
25021	390	183	46.92	207	53.08
25022	296	166	56.08	130	43.92
25023	365	214	58.63	151	41.37
25024	330	205	62.12	125	37.88
25025	290	107	36.90	183	63.10
25026	337	162	48.07	175	51.93
25027	220	94	42.73	126	57.27
25028	321	200	62.31	121	37.69
25029	263	124	47.15	139	52.85
25030	326	178	54.60	148	45.40
25031	338	155	45.86	183	54.14
25032	254	106	41.73	148	58.27
