Precinct	Votes	votes|Ugo Okere	pct|Ugo Okere	votes|Dianne Daleiden	pct|Dianne Daleiden	votes|André Vasquez	pct|André Vasquez	votes|Patrick J. O'Connor	pct|Patrick J. O'Connor	votes|Maggie O'Keefe	pct|Maggie O'Keefe
40001	287	15	5.23	44	15.33	25	8.71	167	58.19	36	12.54
40002	262	12	4.58	58	22.14	32	12.21	122	46.56	38	14.50
40003	405	55	13.58	52	12.84	104	25.68	125	30.86	69	17.04
40004	205	12	5.85	36	17.56	37	18.05	85	41.46	35	17.07
40005	368	63	17.12	41	11.14	55	14.95	130	35.33	79	21.47
40006	408	81	19.85	77	18.87	69	16.91	66	16.18	115	28.19
40007	382	54	14.14	92	24.08	58	15.18	123	32.20	55	14.40
40008	452	82	18.14	84	18.58	100	22.12	89	19.69	97	21.46
40009	252	21	8.33	34	13.49	47	18.65	125	49.60	25	9.92
40010	262	30	11.45	40	15.27	50	19.08	102	38.93	40	15.27
40011	405	54	13.33	61	15.06	65	16.05	131	32.35	94	23.21
40012	273	37	13.55	32	11.72	38	13.92	85	31.14	81	29.67
40013	519	218	42.00	71	13.68	82	15.80	90	17.34	58	11.18
40014	226	11	4.87	29	12.83	24	10.62	124	54.87	38	16.81
40015	283	25	8.83	66	23.32	33	11.66	136	48.06	23	8.13
40016	492	143	29.07	65	13.21	106	21.54	105	21.34	73	14.84
40017	336	27	8.04	44	13.10	87	25.89	129	38.39	49	14.58
40018	198	15	7.58	25	12.63	54	27.27	77	38.89	27	13.64
40019	372	47	12.63	47	12.63	61	16.40	172	46.24	45	12.10
40020	273	31	11.36	46	16.85	47	17.22	118	43.22	31	11.36
40021	445	42	9.44	103	23.15	118	26.52	129	28.99	53	11.91
40022	353	50	14.16	92	26.06	71	20.11	84	23.80	56	15.86
40023	476	61	12.82	91	19.12	165	34.66	101	21.22	58	12.18
40024	251	18	7.17	41	16.33	26	10.36	141	56.18	25	9.96
40025	416	74	17.79	92	22.12	64	15.38	90	21.63	96	23.08
40026	390	82	21.03	80	20.51	75	19.23	99	25.38	54	13.85
40027	424	39	9.20	62	14.62	156	36.79	127	29.95	40	9.43
40028	379	65	17.15	45	11.87	115	30.34	95	25.07	59	15.57
40029	362	31	8.56	62	17.13	54	14.92	191	52.76	24	6.63
40030	360	14	3.89	44	12.22	62	17.22	206	57.22	34	9.44
40031	402	59	14.68	102	25.37	71	17.66	84	20.90	86	21.39
40032	401	56	13.97	57	14.21	103	25.69	101	25.19	84	20.95
40033	394	85	21.57	109	27.66	65	16.50	95	24.11	40	10.15
40034	276	22	7.97	27	9.78	19	6.88	171	61.96	37	13.41
40035	208	12	5.77	40	19.23	32	15.38	92	44.23	32	15.38
40036	340	18	5.29	75	22.06	103	30.29	109	32.06	35	10.29
40037	292	18	6.16	50	17.12	101	34.59	81	27.74	42	14.38
40038	447	82	18.34	68	15.21	94	21.03	116	25.95	87	19.46
40039	77	9	11.69	12	15.58	15	19.48	33	42.86	8	10.39
