Precinct	Votes	votes|Debra L. Silverstein	pct|Debra L. Silverstein	votes|Andrew D Rowlas	pct|Andrew D Rowlas	votes|Zehra Quadri	pct|Zehra Quadri
50001	297	233	78.45	46	15.49	18	6.06
50002	176	148	84.09	17	9.66	11	6.25
50003	279	233	83.51	30	10.75	16	5.73
50004	283	193	68.20	47	16.61	43	15.19
50005	223	185	82.96	24	10.76	14	6.28
50006	310	204	65.81	66	21.29	40	12.90
50007	355	198	55.77	95	26.76	62	17.46
50008	223	113	50.67	69	30.94	41	18.39
50009	234	135	57.69	69	29.49	30	12.82
50010	231	154	66.67	37	16.02	40	17.32
50011	208	193	92.79	5	2.40	10	4.81
50012	125	99	79.20	15	12.00	11	8.80
50013	232	104	44.83	63	27.16	65	28.02
50014	111	95	85.59	9	8.11	7	6.31
50015	356	197	55.34	105	29.49	54	15.17
50016	100	69	69.00	18	18.00	13	13.00
50017	210	137	65.24	33	15.71	40	19.05
50018	100	98	98.00	1	1.00	1	1.00
50019	148	60	40.54	30	20.27	58	39.19
50020	271	141	52.03	59	21.77	71	26.20
50021	233	136	58.37	61	26.18	36	15.45
50022	215	157	73.02	32	14.88	26	12.09
50023	174	128	73.56	11	6.32	35	20.11
50024	242	211	87.19	16	6.61	15	6.20
50025	262	203	77.48	44	16.79	15	5.73
50026	214	122	57.01	41	19.16	51	23.83
50027	102	60	58.82	19	18.63	23	22.55
50028	265	144	54.34	43	16.23	78	29.43
50029	167	91	54.49	27	16.17	49	29.34
50030	157	76	48.41	34	21.66	47	29.94
50031	244	119	48.77	61	25.00	64	26.23
50032	218	100	45.87	54	24.77	64	29.36
50033	266	223	83.83	27	10.15	16	6.02
50034	387	247	63.82	82	21.19	58	14.99
50035	336	212	63.10	74	22.02	50	14.88
50036	287	154	53.66	65	22.65	68	23.69
50037	264	138	52.27	85	32.20	41	15.53
50038	152	124	81.58	21	13.82	7	4.61
50039	148	101	68.24	24	16.22	23	15.54
50040	329	279	84.80	19	5.78	31	9.42
