Precinct	Votes	votes|Raymond A. Lopez	pct|Raymond A. Lopez	votes|Rafael ''Rafa'' Yanez	pct|Rafael ''Rafa'' Yanez
15001	284	116	40.85	168	59.15
15002	157	130	82.80	27	17.20
15003	170	143	84.12	27	15.88
15004	253	123	48.62	130	51.38
15005	254	80	31.50	174	68.50
15006	261	128	49.04	133	50.96
15007	189	139	73.54	50	26.46
15008	250	116	46.40	134	53.60
15009	317	179	56.47	138	43.53
15010	338	200	59.17	138	40.83
15011	277	132	47.65	145	52.35
15012	302	172	56.95	130	43.05
15013	236	115	48.73	121	51.27
15014	205	85	41.46	120	58.54
15015	186	85	45.70	101	54.30
15016	294	227	77.21	67	22.79
15017	193	154	79.79	39	20.21
15018	148	109	73.65	39	26.35
15019	210	144	68.57	66	31.43
15020	190	133	70.00	57	30.00
15021	161	102	63.35	59	36.65
15022	170	142	83.53	28	16.47
15023	181	135	74.59	46	25.41
15024	168	131	77.98	37	22.02
