Precinct	Votes	votes|Silvana Tabares	pct|Silvana Tabares	votes|Paulino Villarreal, Jr.	pct|Paulino Villarreal, Jr.
23001	291	223	76.63	68	23.37
23002	266	174	65.41	92	34.59
23003	273	217	79.49	56	20.51
23004	322	251	77.95	71	22.05
23005	213	164	77.00	49	23.00
23006	241	181	75.10	60	24.90
23007	173	138	79.77	35	20.23
23008	254	201	79.13	53	20.87
23009	160	120	75.00	40	25.00
23010	235	184	78.30	51	21.70
23011	217	159	73.27	58	26.73
23012	282	212	75.18	70	24.82
23013	148	116	78.38	32	21.62
23014	252	192	76.19	60	23.81
23015	165	114	69.09	51	30.91
23016	302	250	82.78	52	17.22
23017	114	73	64.04	41	35.96
23018	224	157	70.09	67	29.91
23019	144	83	57.64	61	42.36
23020	120	92	76.67	28	23.33
23021	297	238	80.13	59	19.87
23022	262	200	76.34	62	23.66
23023	259	193	74.52	66	25.48
23024	159	121	76.10	38	23.90
23025	167	131	78.44	36	21.56
23026	235	193	82.13	42	17.87
23027	277	222	80.14	55	19.86
23028	281	192	68.33	89	31.67
23029	247	204	82.59	43	17.41
23030	246	185	75.20	61	24.80
23031	157	112	71.34	45	28.66
23032	204	147	72.06	57	27.94
23033	195	157	80.51	38	19.49
23034	162	126	77.78	36	22.22
23035	193	133	68.91	60	31.09
23036	304	248	81.58	56	18.42
23037	316	259	81.96	57	18.04
23038	243	181	74.49	62	25.51
23039	199	159	79.90	40	20.10
