Precinct	Votes	votes|Jessica W. Gutierrez	pct|Jessica W. Gutierrez	votes|Ariel E. Reboyras	pct|Ariel E. Reboyras	votes|Edgar ''Edek'' Esparza	pct|Edgar ''Edek'' Esparza
30001	275	143	52.00	119	43.27	13	4.73
30002	280	90	32.14	175	62.50	15	5.36
30003	213	107	50.23	95	44.60	11	5.16
30004	231	103	44.59	107	46.32	21	9.09
30005	158	73	46.20	83	52.53	2	1.27
30006	232	73	31.47	150	64.66	9	3.88
30007	293	141	48.12	143	48.81	9	3.07
30008	322	136	42.24	172	53.42	14	4.35
30009	219	68	31.05	137	62.56	14	6.39
30010	269	95	35.32	156	57.99	18	6.69
30011	216	128	59.26	85	39.35	3	1.39
30012	191	62	32.46	123	64.40	6	3.14
30013	230	91	39.57	129	56.09	10	4.35
30014	138	59	42.75	68	49.28	11	7.97
30015	295	119	40.34	170	57.63	6	2.03
30016	135	55	40.74	71	52.59	9	6.67
30017	277	143	51.62	119	42.96	15	5.42
30018	277	178	64.26	89	32.13	10	3.61
30019	212	119	56.13	87	41.04	6	2.83
30020	271	130	47.97	125	46.13	16	5.90
30021	206	79	38.35	116	56.31	11	5.34
30022	325	195	60.00	121	37.23	9	2.77
30023	244	126	51.64	100	40.98	18	7.38
30024	319	193	60.50	113	35.42	13	4.08
30025	349	213	61.03	122	34.96	14	4.01
30026	183	91	49.73	84	45.90	8	4.37
30027	181	88	48.62	88	48.62	5	2.76
30028	275	140	50.91	126	45.82	9	3.27
30029	109	48	44.04	50	45.87	11	10.09
30030	111	63	56.76	45	40.54	3	2.70
30031	184	92	50.00	83	45.11	9	4.89
30032	218	95	43.58	112	51.38	11	5.05
