Precinct	Votes	votes|Colin Bird-Martinez	pct|Colin Bird-Martinez	votes|Milagros Santiago	pct|Milagros Santiago	votes|Felix Cardona Jr.	pct|Felix Cardona Jr.
31001	142	42	29.58	47	33.10	53	37.32
31002	139	23	16.55	77	55.40	39	28.06
31003	171	37	21.64	76	44.44	58	33.92
31004	238	102	42.86	89	37.39	47	19.75
31005	206	54	26.21	102	49.51	50	24.27
31006	144	26	18.06	66	45.83	52	36.11
31007	252	105	41.67	110	43.65	37	14.68
31008	124	29	23.39	41	33.06	54	43.55
31009	132	21	15.91	63	47.73	48	36.36
31010	131	37	28.24	62	47.33	32	24.43
31011	122	22	18.03	56	45.90	44	36.07
31012	149	48	32.21	60	40.27	41	27.52
31013	166	37	22.29	88	53.01	41	24.70
31014	145	34	23.45	66	45.52	45	31.03
31015	149	30	20.13	67	44.97	52	34.90
31016	192	95	49.48	75	39.06	22	11.46
31017	155	17	10.97	73	47.10	65	41.94
31018	138	37	26.81	62	44.93	39	28.26
31019	154	23	14.94	42	27.27	89	57.79
31020	141	24	17.02	49	34.75	68	48.23
31021	158	43	27.22	74	46.84	41	25.95
31022	117	41	35.04	41	35.04	35	29.91
31023	163	54	33.13	58	35.58	51	31.29
31024	190	24	12.63	66	34.74	100	52.63
31025	124	16	12.90	37	29.84	71	57.26
31026	189	60	31.75	72	38.10	57	30.16
31027	192	29	15.10	75	39.06	88	45.83
31028	112	21	18.75	49	43.75	42	37.50
31029	186	38	20.43	80	43.01	68	36.56
31030	111	35	31.53	40	36.04	36	32.43
31031	153	36	23.53	61	39.87	56	36.60
31032	122	24	19.67	55	45.08	43	35.25
31033	125	23	18.40	47	37.60	55	44.00
31034	156	46	29.49	60	38.46	50	32.05
31035	181	46	25.41	62	34.25	73	40.33
31036	202	53	26.24	49	24.26	100	49.50
31037	143	34	23.78	53	37.06	56	39.16
31038	121	31	25.62	52	42.98	38	31.40
31039	162	73	45.06	60	37.04	29	17.90
31040	172	83	48.26	56	32.56	33	19.19
31041	150	46	30.67	70	46.67	34	22.67
