Precinct	Votes	votes|Carrie M. Austin	pct|Carrie M. Austin	votes|Preston Brown Jr	pct|Preston Brown Jr
34001	257	142	55.25	115	44.75
34002	248	131	52.82	117	47.18
34003	231	139	60.17	92	39.83
34004	143	78	54.55	65	45.45
34005	195	112	57.44	83	42.56
34006	256	144	56.25	112	43.75
34007	281	175	62.28	106	37.72
34008	173	100	57.80	73	42.20
34009	167	106	63.47	61	36.53
34010	245	130	53.06	115	46.94
34011	168	90	53.57	78	46.43
34012	287	131	45.64	156	54.36
34013	234	108	46.15	126	53.85
34014	178	106	59.55	72	40.45
34015	193	108	55.96	85	44.04
34016	191	94	49.21	97	50.79
34017	293	160	54.61	133	45.39
34018	178	99	55.62	79	44.38
34019	253	140	55.34	113	44.66
34020	308	181	58.77	127	41.23
34021	296	170	57.43	126	42.57
34022	269	137	50.93	132	49.07
34023	195	98	50.26	97	49.74
34024	204	107	52.45	97	47.55
34025	340	197	57.94	143	42.06
34026	257	149	57.98	108	42.02
34027	183	91	49.73	92	50.27
34028	130	80	61.54	50	38.46
34029	182	112	61.54	70	38.46
34030	268	142	52.99	126	47.01
34031	191	100	52.36	91	47.64
34032	216	103	47.69	113	52.31
34033	181	107	59.12	74	40.88
34034	260	156	60.00	104	40.00
34035	268	110	41.04	158	58.96
34036	257	138	53.70	119	46.30
34037	122	53	43.44	69	56.56
34038	98	53	54.08	45	45.92
34039	131	77	58.78	54	41.22
34040	253	110	43.48	143	56.52
34041	150	59	39.33	91	60.67
34042	233	130	55.79	103	44.21
34043	261	144	55.17	117	44.83
34044	259	145	55.98	114	44.02
34045	252	142	56.35	110	43.65
34046	168	96	57.14	72	42.86
34047	210	112	53.33	98	46.67
34048	277	159	57.40	118	42.60
34049	229	115	50.22	114	49.78
34050	173	85	49.13	88	50.87
34051	277	164	59.21	113	40.79
34052	205	125	60.98	80	39.02
34053	126	66	52.38	60	47.62
